ID,Query,RFQ family,Candidate sub,Product title,Product URL,Supplier name,Supplier URL/id,Supplier country/region,Verified/trust signal,MOQ,Price/price ladder,Sold/reviews,Custom/OEM/ODM signal,Material hints,Process hints,Capability hints,Category/breadcrumb,Source timestamp,Raw source ref,Duplicate group,Confidence,Notes
C011,Q05: robot bearing housing,Shaft/bearing seat/motor mount,bearing housing / motor mount,Robot Base Bearing Shaft Carbon Steel CNC Turning,https://www.alibaba.com/product-detail/Robot-Base-Bearing-Shaft-Carbon-Steel_1601492228898.html,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unclear,carbon steel,CNC turning,CNC-turned bearing shaft for robot base,unknown,2026-09-20,WebSearch (Claude) result — title/URL from search index; alibaba.com page itself NOT fetched (WebFetch returned EGRESS_BLOCKED for www.alibaba.com),none,medium-title_only,Genuine custom-mfg capability signal (not resale); robot-specific object name.
C012,Q11: robot sensor mount cnc,Sensor/camera mount,sensor mount,Custom CNC Machining Sensor Mount for Fluid Control,https://www.alibaba.com/product-detail/Custom-CNC-Machining-Sensor-Mount-for_11000024565104.html,unknown,unknown,unknown,unknown,unknown,unknown,unknown,yes (title says 'custom'),unknown,CNC machining,custom CNC-machined sensor mount,unknown,2026-09-20,WebSearch (Claude) result — title/URL from search index; alibaba.com page itself NOT fetched (WebFetch returned EGRESS_BLOCKED for www.alibaba.com),none,medium-title_only,"Genuine custom-mfg capability signal but for fluid-control industry, not explicitly robotics — cross-industry capability evidence, only 1 listing found (insufficient for a standalone sub-candidate)."
C013,Q15: robot prototype multi part machining,Prototype multi-part assembly,prototype assembly package,OEM CNC Milling Robot Prototype CNC Machining Robot Model,https://www.alibaba.com/product-detail/OEM-cnc-milling-robot-prototype-cnc_62239423358.html,unknown,unknown,unknown,unknown,unknown,unknown,unknown,yes (OEM stated in title),unknown,CNC milling,OEM CNC-milled robot prototype/model,unknown,2026-09-20,WebSearch (Claude) result — title/URL from search index; alibaba.com page itself NOT fetched (WebFetch returned EGRESS_BLOCKED for www.alibaba.com),none,medium-title_only,Genuine custom-mfg capability signal; only 1 listing found (insufficient for a standalone sub-candidate).
C014,Q16: robot bracket mount adapter cnc machining,Bracket/mount/adapter,bracket/mount adapter,CNC Machining Rear Brake Caliper Bracket Adapter,https://www.alibaba.com/product-detail/Cnc-machining-Rear-Brake-Caliper-Bracket_1600602457338.html,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unclear,unknown,CNC machining,"CNC-machined bracket/adapter (automotive object, general bracket-machining capability)",unknown,2026-09-20,WebSearch (Claude) result — title/URL from search index; alibaba.com page itself NOT fetched (WebFetch returned EGRESS_BLOCKED for www.alibaba.com),none,medium-title_only,"Genuine custom-mfg capability signal but the object is automotive (brake caliper bracket), not robotics — cross-industry evidence that the same CNC shops/capability cluster serves bracket/adapter work generally."
C015,Q17: custom robot battery enclosure machining,Battery/electronics enclosure,battery/electronics enclosure,Custom Robotics Parts Manufacturer CNC Machining,https://www.alibaba.com/product-detail/Custom-Robotics-Parts-Manufacturer-CNC-Machining_1601668555072.html,unknown,unknown,unknown,unknown,unknown,unknown,unknown,yes (title says 'custom'),unknown,CNC machining,custom CNC-machined robotics parts (generic manufacturer listing),unknown,2026-09-20,WebSearch (Claude) result — title/URL from search index; alibaba.com page itself NOT fetched (WebFetch returned EGRESS_BLOCKED for www.alibaba.com),none,medium-title_only,"Genuine custom-mfg signal but generic ('robotics parts', not specifically a battery enclosure) — surfaced under the battery-enclosure query."
C016,Q17: custom robot battery enclosure machining,Battery/electronics enclosure,battery/electronics enclosure,High Strength EV Battery Enclosure CNC Machining Parts,https://www.alibaba.com/product-detail/High-Strength-EV-Battery-Enclosure-CNC_1601665939540.html,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unclear,unknown,CNC machining,"CNC-machined high-strength battery enclosure (EV object, not robot-specific)",unknown,2026-09-20,WebSearch (Claude) result — title/URL from search index; alibaba.com page itself NOT fetched (WebFetch returned EGRESS_BLOCKED for www.alibaba.com),none,medium-title_only,"Genuine custom-mfg capability signal but object is EV battery enclosure, not robot/AGV-specific — cross-industry evidence for the battery/electronics-enclosure capability cluster."
C017,Q18: robot sealed pressure housing cnc machining,Pressure/sealed housing,sealed/pressure housing,Pressure Sensor Housing Brass CNC Turning Custom,https://www.alibaba.com/product-detail/Pressure-sensor-housing-brass-CNC-turning_1601486251999.html,unknown,unknown,unknown,unknown,unknown,unknown,unknown,yes (title says 'custom'),brass,CNC turning,custom CNC-turned pressure/sensor housing,unknown,2026-09-20,WebSearch (Claude) result — title/URL from search index; alibaba.com page itself NOT fetched (WebFetch returned EGRESS_BLOCKED for www.alibaba.com),none,medium-title_only,Genuine custom-mfg capability signal; only 1 listing dedicated to this family found (insufficient for a standalone sub-candidate on its own; L02 is loosely cross-relevant).
C018,Q13: robot sheet metal enclosure custom,Sheet-metal enclosure,sheet-metal robot enclosure,OEM Custom Sheet Metal Enclosure Raspberry Pi Case (Metal Raspberry Pi Enclosure),https://m.alibaba.com/product/62445355220/OEM-Custom-sheet-metal-enclosure-Raspberry.html,unknown,unknown,unknown,unknown,10 pieces (per WebSearch summary text tied to this listing),US$7.30 (per WebSearch summary text tied to this listing; unit unclear — likely per-piece at MOQ),unknown,yes (OEM stated in title),sheet metal (aluminum alloy per summary),sheet-metal fabrication,custom OEM sheet-metal enclosure fabrication,unknown,2026-09-20,WebSearch (Claude) result — title/URL from search index; alibaba.com page itself NOT fetched (WebFetch returned EGRESS_BLOCKED for www.alibaba.com),none,low-aggregated_summary,"Genuine custom-mfg capability signal, but object is a Raspberry Pi case, not a robot enclosure — cross-industry evidence only. Only 1 listing found for this family (insufficient for standalone candidate). MOQ/price came from Claude's WebSearch summary paragraph (not the raw title/URL row itself), hence lower confidence tier — could not be independently verified via page fetch (blocked)."
C019,Q14: robot EOAT fixture custom,Jig/fixture/EOAT structure,eoat jaw / fixture,"EOAT Base Robot Frame for Robotic Automation (Aluminium Alloy, Customized)",https://www.alibaba.com/product-detail/EOAT-Base-robot-Frame-for-Robotic_1601164996546.html,unknown,unknown,unknown,unknown,unknown,unknown,unknown,yes (title says 'customized'),aluminium alloy,"unclear (title implies fabrication/assembly, not explicit CNC/weld)",customized EOAT base frame (borderline: finished-frame product vs true custom-fabrication service),unknown,2026-09-20,WebSearch (Claude) result — title/URL from search index; alibaba.com page itself NOT fetched (WebFetch returned EGRESS_BLOCKED for www.alibaba.com),none,medium-title_only,"Borderline signal: reads partly as a finished/catalog EOAT base-frame product rather than a clear custom-fabrication-as-a-service listing. Kept in (not excluded) because of the explicit 'customized' claim, but flagged low-weight; only 1 listing this ambiguous for the whole family (insufficient for a standalone candidate)."
C020,Q03: custom robot gripper jaw; Q08: custom gripper jaw machining,Gripper jaw/finger,eoat jaw,Robot Pneumatic Round Parallel 3 Jaw Gripper Cylinders,https://www.alibaba.com/product-detail/Robot-Pneumatic-Round-Parallel-3-Three_1600249377190.html,unknown,unknown,unknown,unknown,unknown,unknown,unknown,no,unknown,unknown,unknown,unknown,2026-09-20,WebSearch (Claude) result — title/URL from search index; alibaba.com page itself NOT fetched (WebFetch returned EGRESS_BLOCKED for www.alibaba.com),DUP-Robot-Pneumatic-Round-Pa,medium-title_only,"RESALE/COMPONENT/FALSE-POSITIVE FLAG — Finished stock gripper product for resale, not a custom-jaw-machining capability signal — EXCLUDED from sub-candidate evidence per task rule. [Deduped from 2 raw rows across queries: Q03: custom robot gripper jaw; Q08: custom gripper jaw machining]"
C021,Q03: custom robot gripper jaw; Q08: custom gripper jaw machining,Gripper jaw/finger,eoat jaw,3 Finger 3 Jaw SMC Parallel Pneumatic Robot Gripper,https://www.alibaba.com/product-detail/3-finger-3-jaw-smc-parallel_1600678180684.html,unknown,unknown,unknown,unknown,unknown,unknown,unknown,no,unknown,unknown,unknown,unknown,2026-09-20,WebSearch (Claude) result — title/URL from search index; alibaba.com page itself NOT fetched (WebFetch returned EGRESS_BLOCKED for www.alibaba.com),DUP-3-finger-3-jaw-smc-paral,medium-title_only,RESALE/COMPONENT/FALSE-POSITIVE FLAG — Finished stock gripper product for resale — EXCLUDED from sub-candidate evidence. [Deduped from 2 raw rows across queries: Q03: custom robot gripper jaw; Q08: custom gripper jaw machining]
C022,Q03: custom robot gripper jaw; Q08: custom gripper jaw machining,Gripper jaw/finger,eoat jaw,"3-Jaw Mini J1060 Robotic Gripper Accessory (Pneumatic, non-slip pads, magnetic switch slot)",https://www.alibaba.com/product-detail/3-Jaw-Mini-J1060-Robotic-Gripper_1601737214702.html,unknown,unknown,unknown,unknown,unknown,unknown,unknown,no,unknown,unknown,unknown,unknown,2026-09-20,WebSearch (Claude) result — title/URL from search index; alibaba.com page itself NOT fetched (WebFetch returned EGRESS_BLOCKED for www.alibaba.com),DUP-3-Jaw-Mini-J1060-Robotic,medium-title_only,RESALE/COMPONENT/FALSE-POSITIVE FLAG — Finished stock gripper accessory for resale — EXCLUDED from sub-candidate evidence. [Deduped from 2 raw rows across queries: Q03: custom robot gripper jaw; Q08: custom gripper jaw machining]
C023,Q03: custom robot gripper jaw,Gripper jaw/finger,eoat jaw,Customized OEM Support Versatile Adjustable Pneumatic Parallel Robot Gripper Picker,https://www.alibaba.com/product-detail/The-Versatile-Adjustable-Pneumatic-Parallel-Robot_1601057512208.html,unknown,unknown,unknown,unknown,unknown,unknown,unknown,yes (title uses 'custom'/'customized'),unknown,unknown,unknown,unknown,2026-09-20,WebSearch (Claude) result — title/URL from search index; alibaba.com page itself NOT fetched (WebFetch returned EGRESS_BLOCKED for www.alibaba.com),none,medium-title_only,"RESALE/COMPONENT/FALSE-POSITIVE FLAG — Says 'Customized OEM Support' but is a finished catalog gripper product, not a jaw-machining service — flagged borderline, EXCLUDED from sub-candidate evidence (component resale, not fabrication capability)."
C024,Q01: robot joint housing,Joint/structural link,joint housing,Modular Integrated Robot Joint Co-robot Joint Module For Humanoid Robot,https://www.alibaba.com/product-detail/Modular-integrated-Robot-Joint-co-robot_1601113829469.html,unknown,unknown,unknown,unknown,unknown,unknown,unknown,no,unknown,unknown,unknown,unknown,2026-09-20,WebSearch (Claude) result — title/URL from search index; alibaba.com page itself NOT fetched (WebFetch returned EGRESS_BLOCKED for www.alibaba.com),none,medium-title_only,"RESALE/COMPONENT/FALSE-POSITIVE FLAG — Finished actuator/joint MODULE product for resale (component), not a joint-housing machining capability signal — EXCLUDED."
C025,Q01: robot joint housing,Joint/structural link,joint housing,Robotic Arm Joint Robot Joint Motor Robot Joint Module Servo,https://www.alibaba.com/product-detail/Robotic-Arm-Joint-Robot-Joint-Motor_1600981742355.html,unknown,unknown,unknown,unknown,unknown,unknown,unknown,no,unknown,unknown,unknown,unknown,2026-09-20,WebSearch (Claude) result — title/URL from search index; alibaba.com page itself NOT fetched (WebFetch returned EGRESS_BLOCKED for www.alibaba.com),none,medium-title_only,RESALE/COMPONENT/FALSE-POSITIVE FLAG — Finished joint-motor-module product for resale — EXCLUDED.
C026,Q01: robot joint housing,Joint/structural link,joint housing,Robot Joint Low Cost Robot Arm Joint With Encoder Motor,https://www.alibaba.com/product-detail/Robot-joint-low-cost-robot-arm_1600598119158.html,unknown,unknown,unknown,unknown,unknown,unknown,unknown,no,unknown,unknown,unknown,unknown,2026-09-20,WebSearch (Claude) result — title/URL from search index; alibaba.com page itself NOT fetched (WebFetch returned EGRESS_BLOCKED for www.alibaba.com),none,medium-title_only,RESALE/COMPONENT/FALSE-POSITIVE FLAG — Finished joint-with-motor product for resale — EXCLUDED.
C027,Q02: robot actuator housing,Precision CNC housing,actuator housing,Robot Joint Actuator Module Motor Hollow Servo,https://www.alibaba.com/product-detail/Robot-Joint-Actuator-Module-Motor-Hollow_1601113245594.html,unknown,unknown,unknown,unknown,unknown,unknown,unknown,no,unknown,unknown,unknown,unknown,2026-09-20,WebSearch (Claude) result — title/URL from search index; alibaba.com page itself NOT fetched (WebFetch returned EGRESS_BLOCKED for www.alibaba.com),none,medium-title_only,RESALE/COMPONENT/FALSE-POSITIVE FLAG — Finished actuator module product for resale — EXCLUDED.
C028,Q05: robot bearing housing,Shaft/bearing seat/motor mount,bearing housing,Industrial Robot Kit - 360 Degree Rotating Base Bearing,https://www.alibaba.com/product-detail/Industrial-Robot-Kit-Rotating-Base-Bearing_60830910067.html,unknown,unknown,unknown,unknown,unknown,unknown,unknown,no,unknown,unknown,unknown,unknown,2026-09-20,WebSearch (Claude) result — title/URL from search index; alibaba.com page itself NOT fetched (WebFetch returned EGRESS_BLOCKED for www.alibaba.com),none,medium-title_only,"RESALE/COMPONENT/FALSE-POSITIVE FLAG — Finished bearing/rotating-base kit product for resale, not a bearing-housing machining capability signal — EXCLUDED."
C029,Q12: robot welded chassis fabrication,Welded frame/chassis,welded robot chassis,Motorcycle Chassis Automatic Welding Robot Workstation,https://www.alibaba.com/product-detail/Motorcycle-Chassis-Automatic-Welding-Robot-Workstation_1600226669890.html,unknown,unknown,unknown,unknown,unknown,unknown,unknown,no,unknown,unknown,unknown,unknown,2026-09-20,WebSearch (Claude) result — title/URL from search index; alibaba.com page itself NOT fetched (WebFetch returned EGRESS_BLOCKED for www.alibaba.com),none,medium-title_only,"RESALE/COMPONENT/FALSE-POSITIVE FLAG — FALSE POSITIVE: this is a welding-ROBOT MACHINE for sale (capital equipment), not a chassis-fabrication service — 'robot' in the query matched the equipment name, not a fabrication capability. EXCLUDED."
C030,Q12: robot welded chassis fabrication,Welded frame/chassis,welded robot chassis,Robotic H-beam And Trailer Chassis Welding Equipment (Axis Automatic Welding Robot Arm),https://www.alibaba.com/product-detail/Robotic-H-beam-And-Trailer-Chassis_1600974127087.html,unknown,unknown,"Jiangsu, China (per WebSearch summary text, not independently page-verified)",unknown,unknown,"US$30,000 (per WebSearch summary text, not independently page-verified)",unknown,no,unknown,unknown,unknown,unknown,2026-09-20,WebSearch (Claude) result — title/URL from search index; alibaba.com page itself NOT fetched (WebFetch returned EGRESS_BLOCKED for www.alibaba.com),none,low-aggregated_summary,"RESALE/COMPONENT/FALSE-POSITIVE FLAG — FALSE POSITIVE: welding-robot-arm equipment for sale (quoted at $30,000 per WebSearch summary, supplier said to be in Jiangsu, China), not a chassis-fabrication service. EXCLUDED."
C031,Q14: robot EOAT fixture custom,Jig/fixture/EOAT structure,eoat jaw / fixture,Robot Application Double Bag Box Claw Tool Gripper Pneumatic Clamper Claw Robot Chuck Gripping Tool Robot Fixture Gripper EOAT,https://www.alibaba.com/product-detail/robot-application-bag-box-claw-tool_1600467754689.html,unknown,unknown,unknown,unknown,unknown,unknown,unknown,no,unknown,unknown,unknown,unknown,2026-09-20,WebSearch (Claude) result — title/URL from search index; alibaba.com page itself NOT fetched (WebFetch returned EGRESS_BLOCKED for www.alibaba.com),none,medium-title_only,RESALE/COMPONENT/FALSE-POSITIVE FLAG — Finished EOAT gripper/claw tool product for resale — EXCLUDED.
C032,Q14: robot EOAT fixture custom,Jig/fixture/EOAT structure,eoat jaw / fixture,EOAT Robot Tooling Quick Changer - High Efficiency,https://www.alibaba.com/product-detail/EOAT-Robot-Tooling-Quick-Changer-High_1601200114793.html,unknown,unknown,unknown,unknown,unknown,unknown,unknown,no,unknown,unknown,unknown,unknown,2026-09-20,WebSearch (Claude) result — title/URL from search index; alibaba.com page itself NOT fetched (WebFetch returned EGRESS_BLOCKED for www.alibaba.com),none,medium-title_only,RESALE/COMPONENT/FALSE-POSITIVE FLAG — Finished quick-change tooling product for resale — EXCLUDED.
C033,Q14: robot EOAT fixture custom,Jig/fixture/EOAT structure,eoat jaw / fixture,New Arrivals Pneumatic Grippers Runner Chuck Robot EOAT Finger,https://www.alibaba.com/product-detail/New-Arrivals-Pneumatic-Grippers-Runner-Chuck-1601048828492.html,unknown,unknown,unknown,unknown,unknown,unknown,unknown,no,unknown,unknown,unknown,unknown,2026-09-20,WebSearch (Claude) result — title/URL from search index; alibaba.com page itself NOT fetched (WebFetch returned EGRESS_BLOCKED for www.alibaba.com),none,medium-title_only,RESALE/COMPONENT/FALSE-POSITIVE FLAG — Finished sprue/runner gripper product for resale — EXCLUDED.
C034,Q14: robot EOAT fixture custom,Jig/fixture/EOAT structure,eoat jaw / fixture,Robot Tool Change Made In China For EOAT Pneumatic Automatic Quick Change Plate Robotic,https://www.alibaba.com/product-detail/Robot-tool-Change-made-In-China_1601200380878.html,unknown,unknown,unknown,unknown,unknown,unknown,unknown,no,unknown,unknown,unknown,unknown,2026-09-20,WebSearch (Claude) result — title/URL from search index; alibaba.com page itself NOT fetched (WebFetch returned EGRESS_BLOCKED for www.alibaba.com),none,medium-title_only,RESALE/COMPONENT/FALSE-POSITIVE FLAG — Finished tool-change-plate product for resale — EXCLUDED.
C035,Q14: robot EOAT fixture custom,Jig/fixture/EOAT structure,eoat jaw / fixture,Industrial Robot Tool Change Disc Made In China QCA-200,https://www.alibaba.com/product-detail/Industrial-Robot-tool-Change-Disc-Made_1600921304293.html,unknown,unknown,unknown,unknown,unknown,unknown,unknown,no,unknown,unknown,unknown,unknown,2026-09-20,WebSearch (Claude) result — title/URL from search index; alibaba.com page itself NOT fetched (WebFetch returned EGRESS_BLOCKED for www.alibaba.com),none,medium-title_only,RESALE/COMPONENT/FALSE-POSITIVE FLAG — Finished tool-change-disc product for resale — EXCLUDED.
C036,Q17: custom robot battery enclosure machining,Battery/electronics enclosure,battery/electronics enclosure,Factory Custom Rechargeable 12V-72V 100-300Ah LiFePO4 Battery AGV Robot Golf Cart Lithium Ion Battery Pack,https://www.alibaba.com/product-detail/Factory-Custom-Rechargeable-12V-24V-36V_1600829230334.html,unknown,unknown,unknown,unknown,unknown,unknown,unknown,yes (title uses 'custom'/'customized'),unknown,unknown,unknown,unknown,2026-09-20,WebSearch (Claude) result — title/URL from search index; alibaba.com page itself NOT fetched (WebFetch returned EGRESS_BLOCKED for www.alibaba.com),none,medium-title_only,"RESALE/COMPONENT/FALSE-POSITIVE FLAG — Finished battery PACK product for resale (a component, not an enclosure-machining capability signal) — EXCLUDED."
C037,Q17: custom robot battery enclosure machining,Battery/electronics enclosure,battery/electronics enclosure,Custom Professional 24V 18A Automatic Battery Charger for Robotic Devices,https://www.alibaba.com/product-detail/Custom-Professional-24V-18A-Automatic-Battery_1600435312110.html,unknown,unknown,unknown,unknown,unknown,unknown,unknown,yes (title uses 'custom'/'customized'),unknown,unknown,unknown,unknown,2026-09-20,WebSearch (Claude) result — title/URL from search index; alibaba.com page itself NOT fetched (WebFetch returned EGRESS_BLOCKED for www.alibaba.com),none,medium-title_only,"RESALE/COMPONENT/FALSE-POSITIVE FLAG — Finished battery-charger product for resale, not an enclosure-machining signal — EXCLUDED."
C038,Q04: robot sensor mount,Sensor/camera mount,sensor mount,High Quality Xiang Run Aluminum Robot Flame Fire Source Detection Sensor Module (Infrared),https://www.alibaba.com/product-detail/High-quality-robot-Flame-sensor-module_62193703664.html,unknown,unknown,"Guangdong, China (per WebSearch summary text, not independently page-verified)",unknown,unknown,unknown,unknown,no,unknown,unknown,unknown,unknown,2026-09-20,WebSearch (Claude) result — title/URL from search index; alibaba.com page itself NOT fetched (WebFetch returned EGRESS_BLOCKED for www.alibaba.com),none,low-aggregated_summary,"RESALE/COMPONENT/FALSE-POSITIVE FLAG — Finished sensor MODULE product for resale (supplier region given as Guangdong, China per WebSearch summary), not a sensor-mount machining signal — EXCLUDED."
