ID,Loại robot,RFQ family,Custom part,Material grade,Primary process,Secondary process,Finish/coating,Heat treatment,Welding requirement,Source URL,Confidence
R026,Cobot/industrial arm/machine tending,joint/link,End-effector mounting flange,unknown,"unknown (implied CNC machining, not explicit in the standard itself)",unknown,unknown,unknown,None,https://www.iso.org/standard/36578.html,documentation_verified
R027,Humanoid/general-purpose,joint/link,Actuator housing,"Aluminum alloy (frame, unspecified grade); titanium (joints, unspecified grade); carbon fiber panels (insulation)",Machining (cooling channels machined directly into frame),unknown,unknown,unknown,unknown,https://www.laifualdrive.com/blog/tesla-optimus-robot-actuators/,supplier_marketing
R028,Maker/startup-built custom robot systems,joint/link,Leg tensioner/link ('the bone'),7075 aluminum,CNC machining (Haas CNC),unknown,unknown,unknown,None,https://build-its-inprogress.blogspot.com/2022/11/mini-cheetah-clone-teardown.html,documentation_verified
R029,Humanoid/general-purpose,shaft/bearing seat/motor mount,Output shaft; bearing seat bore,Ti-6Al-4V (high-stress shafts) per vendor generalization; unknown for the harmonic-drive-catalog generic case,CNC turning/machining,unknown,unknown,unknown,None,https://www.harmonicdrive.net/_hd/content/catalogs/pdf/csf-csg.pdf,documentation_verified (fit class); supplier_marketing (Ti-6Al-4V material generalization)
R032,Inspection/field robot,pressure housing/sealed enclosure,Machined end caps + tube housing,"Titanium 6Al-4V, Aluminum 6061/7075, or stainless steel (303/304/316) — options cited generically across ROV housing sources",CNC machining (turning of tube/end caps),unknown,unknown,unknown,None,https://arxiv.org/pdf/2512.15597,"documentation_verified (materials, O-ring failure account — academic paper); supplier_marketing (±0.025 mm/Ra 0.8 tolerance figures — vendor page)"
R033,Maker/startup-built custom robot systems,pressure housing/sealed enclosure,Machined main housing,ASTM 6061-T6 aluminum,CNC machining,unknown,unknown,unknown,None,https://arxiv.org/pdf/2503.20702,documentation_verified
R034,Cobot/industrial arm/machine tending,jig/fixture/EOAT structure,CNC baseplate / tooling plate,6061 aluminum (or MIC-6 cast tooling plate as an alternative where flatness/dimensional stability is prioritized),CNC machining (milling flat plate + mounting features),Stress-relief or grinding (for tighter flatness),unknown,Stress relief (for tighter flatness spec),None,https://www.chalcoaluminum.com/knowledge/6061-aluminum-tooling-plate-block-2504-lx/,documentation_verified
R036,Maker/startup-built custom robot systems,prototype multi-part assembly,Frame member; mounting bracket,"unknown (aluminum implied by vendor's general CNC-robotics framing, not explicitly stated for this claim)",CNC machining (multi-axis),unknown,unknown,unknown,unknown,https://www.dakingsrapid.com/robotics/,supplier_marketing
R037,Cobot/industrial arm/machine tending,prototype multi-part assembly,Structural frame member; joint housing; actuator housing; end-effector component,unknown,CNC machining (precision machine shop),unknown,unknown,unknown,unknown,https://carrmachine.com/industries/humanized-robotics/,supplier_marketing
R038,Humanoid/general-purpose,prototype multi-part assembly,"Multiple (frame, joint housings, output flanges, actuator housings)","Aluminum billet (7075 confirmed for upper-arm output flange, per R002)",5-axis CNC machining,unknown,unknown,unknown,unknown,https://humanoid.guide/unitree-g1-teardown-reveals-actuator-and-cooling-tradeoffs/,documentation_verified
R043,Humanoid/general-purpose,precision CNC housing,unknown,"7075-T651/T73/T7351 (7000-series aluminum, per generic material-supplier guidance)",unknown,unknown,"Type III hard-coat anodize (Type III/Hardcoat), coating thickness 0.0008-0.004 in, surface hardness approaching 60-70 HRC","7075-T73/T7351 temper recommended over T6/T651 for improved stress-corrosion-cracking resistance in humid/salty/outdoor, preloaded-part environments",unknown,https://aerospacemetalsllc.com/anodizing/,"supplier_marketing (specific numbers); industry_estimate (temper-selection guidance, widely corroborated material-engineering practice)"
R044,Humanoid/general-purpose,precision CNC housing,unknown,6061-T6 / 7075 (named as the dominant structural aerospace aluminum grades),unknown,unknown,unknown,unknown,unknown,https://precisionam.com/articles/uncategorized/cnc-machining-material-traceability/,"supplier_marketing (vendor page); the underlying AS9100D standard itself is a real, independently-verifiable industry standard"
R048,Humanoid/general-purpose,prototype multi-part assembly,unknown,unknown,CNC machining (implied),unknown,unknown,unknown,unknown,https://www.machining-custom.com/blog/top-10-manufacturers-and-suppliers-of-robot-parts-machining.html,supplier_marketing
