ID,Ngày thu thập,Quốc gia,Loại robot,Dạng robot/use case,RFQ family,Custom assembly,Custom part,Geometry/feature,Bought-in vs custom,Material grade,Primary process,Secondary process,Finish/coating,Heat treatment,Welding requirement,General tolerance,Critical tolerance,GD&T,Critical interface,Thread/insert/fastening,Assembly requirement,Critical characteristic,Inspection method,Inspection equipment,FAI requirement,Material cert/traceability,Lifecycle stage,Revision intensity,Failure/rework reason,Repeat/replacement,Single/multi-process,Tooling/NRE need,Raw claim/fact,Source URL,Source type,Publication date,Confidence,Fact/inference/hypothesis,Unknown/gap,Notes
R011,2026-09-19,US,Mining/autonomous haulage,Autonomous haulage truck (surface/underground mining),welded frame/chassis,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,Production (Komatsu commercial deployment from 2007/2008; Sandvik AutoMine commercial),unknown,unknown,unknown,unknown,unknown,"Published industry surveys describe autonomous haulage trucks (Komatsu, commercially deployed in Chile 2007 and Australia 2008; Sandvik AutoMine for underground loaders/trucks) as integrating GPS, LiDAR and fleet-management software, but no source found gives chassis/structural-part material, process, or tolerance detail at the RFQ level.",https://link.springer.com/article/10.1007/s42461-025-01219-y,Peer-reviewed survey article,2025,documentation_verified (deployment facts only),fact (deployment/system-level facts only),"Entire RFQ-anatomy column set (material/process/tolerance/GD&T/interface/fastening/inspection/lifecycle-revision) is unfound at the component level for mining autonomous-haulage structural parts; these are OEM-built heavy vehicles, not typically custom-RFQ'd via outside CNC/fab shops, which may explain the near-total absence of public technical-RFQ-level detail","Mining/autonomous-haulage is the weakest-evidenced robot category in this dataset — flagged as a major gap in the coverage audit, not guessed"
R012,2026-09-19,US,Maker/startup-built custom robot systems,Open-source/DIY quadruped robot chassis (Mini-Cheetah-derived builds),welded frame/chassis,"unknown (leg/body frame, largely machined not welded in this family)",Leg tensioner/link parts,unknown,Custom,"7075 aluminum (tensioner/tension-bearing parts, per build-log teardown)",CNC machining (Haas CNC per original build),unknown,unknown,unknown,"None found (machined, not welded, for this specific family)",unknown,unknown,unknown,unknown,unknown,unknown,"High-strength material selected specifically to minimize bending on tension-bearing leg parts (""the bone"")",unknown,unknown,unknown,unknown,Prototype/hobbyist-replica build,unknown,unknown,unknown,Single-process (machining),None,"Build-log/teardown documentation of the original MIT Mini Cheetah-derived leg design states the leg parts undertaking tension (""the bone"") are made of 7075 aluminum for high strength to minimize bending, machined on a Haas CNC.",https://build-its-inprogress.blogspot.com/2022/11/mini-cheetah-clone-teardown.html,Independent build-log/teardown blog,"2022 (per URL date, later than issue's nominal 'today' framing but retained as-found)",documentation_verified,fact,"This is a welded-frame-family placeholder record; the actual quadruped leg family evidenced here is machined, not welded — recorded honestly rather than forcing it into the welded-frame bucket; see joint/link family (R033) for the correctly-categorized version of this same evidence","Retained to be transparent that welded-frame evidence for maker/startup quadruped builds was not found; the closest available maker-community evidence is machined, not welded"
R013,2026-09-19,US,AMR/warehouse/logistics,Mobile robot body panel/enclosure,sheet-metal enclosure,Body panel enclosure,Sheet-metal body panel/cover,"Laser-cut panel, CNC press-brake bent",Custom,unknown (generic: 6061-T6 aluminum or mild steel per vendor generalization),Laser cutting + CNC press-brake bending,PEM hardware insertion,Powder coat or anodize,unknown,"None (formed sheet metal, not welded, for panel-only parts)",Often held within 0.1 mm for laser-cut/CNC-bent sheet-metal features (vendor generalization),unknown,unknown,Panel-to-chassis mounting interface,PEM self-clinching hardware insertion,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,"Multi-process (cut, bend, insert hardware, finish)","None (sheet metal, no tooling)","Generalized vendor description of AMR sheet-metal fabrication: laser-cut panels, CNC press-brake bending, PEM hardware insertion, powder coat or anodize finish, with laser-cutting/CNC-bending tolerances often held within 0.1 mm.",https://www.lsrpf.com/blog/top-6-manufacturers-for-robotics-sheet-metal-fabrication-custom-lightweight-chassis-experts,Manufacturer/vendor site,unknown,supplier_marketing,"fact (vendor-claimed, generic)","No named OEM, no specific material grade or GD&T",vendor-claimed
R014,2026-09-19,US,Service robot,Delivery/service robot outer enclosure,sheet-metal enclosure,unknown,Outer shell/panel enclosure,unknown,"Custom (or thermoformed plastic alternative, per source)",unknown,"unknown (source discusses thermoforming as an enclosure alternative to sheet metal, not sheet metal itself in detail)",unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,"A plastics vendor markets thermoformed enclosures as an alternative to sheet-metal enclosures for robotics/automation, implying sheet-metal enclosures remain the incumbent comparison point for service/delivery-robot outer shells, but gives no material/process/tolerance detail of its own for the sheet-metal case.",https://www.ditaiplastic.com/thermoformed-enclosures-for-robotics-automation-complete-guide/,Manufacturer/vendor site,unknown,supplier_marketing,"hypothesis (inferred sheet-metal-as-incumbent framing, not a direct sheet-metal claim)",No direct sheet-metal-enclosure evidence found for the service-robot family specifically,Weak evidence; flagged as partial coverage for service-robot sheet-metal-enclosure family in coverage audit
R015,2026-09-19,US,Inspection/field robot,Field/industrial inspection robot electronics bay cover,sheet-metal enclosure,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,"No source found describing a sheet-metal enclosure specific to an inspection/field robot (as distinct from its sealed pressure-housing family, see R040-R042). Recorded as an explicit gap rather than inferred from adjacent families.",unknown,unknown,unknown,unknown,unknown,Entire record is a gap marker,"Deliberate gap-marker row, not a data row — kept per issue's 'ghi unknown, không suy đoán' instruction"
R016,2026-09-19,US,Cobot/industrial arm/machine tending,Machine-tending/pick-and-place cobot end effector,gripper jaw/finger,Parallel/two-jaw gripper end effector,Gripper jaw / finger,Wedge/parallel jaw contact faces; pin-pivot bores,Custom jaw/finger tips on a bought-in gripper base unit,"Tool steel, A2 hardened to 53 HRC or D2 (wear-resistant), per vendor generalization; range cited 50-55 HRC generally","CNC machining (5-axis, sub-15-micron tolerance control per vendor claim)",Wire EDM (intricate jaw patterns in hardened material) + hardening/heat treat to 50-55 HRC,unknown,Hardening to 50-55 HRC (A2 to 53 RC cited),None,±0.001 in on general features (vendor-stated),±0.0005 in on critical grip-surface dimensions and pin-pivot bores; wedge contact surfaces to ±0.01 mm; wire-EDM jaw patterns to ±0.001 in,"Parallelism between jaw faces to 0.05 mm over full stroke (below this, grip force reported to drop 30-50%)",Jaw-face-to-workpiece grip contact surface; pin-pivot bore,unknown,unknown,Jaw-face parallelism directly controls grip force and grip synchronization (backlash on wedge contact surfaces),"unknown (tolerance figures imply CMM/gauge inspection, not explicitly stated)",unknown,unknown,unknown,unknown,unknown,Grip-force loss from jaw-face parallelism drift or wedge-surface backlash,"Interchangeable/quick-change jaw sets marketed by multiple gripper vendors as standard practice, implying a recurring replacement/repeat-order pattern for wear parts",Multi-process (mill/turn + wire EDM + heat treat),"None (machining/EDM, no tooling)","Vendor technical marketing on CNC-machined gripper components states: A2 tool steel hardened to 53 RC (D2 for wear resistance) used for gripper jaws, 5-axis CNC to sub-15-micron control, ±0.001 in general / ±0.0005 in critical-surface and pin-bore tolerances, wire EDM to ±0.001 in for hardened jaw patterns, wedge-contact tolerance ±0.01 mm, and jaw-face parallelism required to 0.05 mm over full stroke or grip force drops 30-50%. Separately, multiple gripper-component vendors (Robotiq spare-parts docs, Kitagawa, pull-stud quick-change systems) confirm interchangeable jaw-set replacement is a standard offered feature.",https://www.rivcut.com/cnc-machining/robotics/gripper-components/,Manufacturer/vendor site,unknown,supplier_marketing,"fact (vendor-claimed, internally consistent and specific, but not independently verified or tied to a named cobot OEM)",No named OEM gripper program confirmed against these exact numbers; inspection method/equipment not stated,"Richest single tolerance/GD&T dataset found for the gripper-jaw family, but entirely vendor-sourced — kept at supplier_marketing confidence throughout, not upgraded to independent fact"
R017,2026-09-19,US,Humanoid/general-purpose,Humanoid dexterous hand end effector,gripper jaw/finger,Finger/hand assembly,"Finger frame, proximal phalanx, MCP joint part",Multi-DOF finger linkage with pivot bores,Custom,SUS303 stainless (load-bearing finger parts); Aluminum 6061 (remaining parts),CNC machining,unknown,unknown,unknown,None,unknown,±0.005 mm machining tolerance capability cited for the build (same source as R004),unknown,Finger pivot/joint bore,unknown,unknown,unknown,unknown,unknown,unknown,unknown,Prototype/academic build,unknown,unknown,unknown,Single-process (machining),None,Same published anthropomorphic hand-prosthesis study as R004: robust load-bearing finger parts made of SUS303 stainless steel for strength; remaining parts Aluminum 6061; CNC tolerance capability ±0.005 mm.,https://pmc.ncbi.nlm.nih.gov/articles/PMC11275007/,Peer-reviewed journal article (PMC),unknown,documentation_verified,fact,"Prosthesis-class research build, not a confirmed commercial humanoid-hand OEM part","Cross-referenced with R004 (same source, precision-housing framing); this row is the gripper/finger framing of the identical evidence"
R018,2026-09-19,US,AMR/warehouse/logistics,Autonomous delivery robot perception stack mount,sensor/camera mount,Perception module mount,RGBD camera mount,unknown,Custom mount around bought-in RGBD camera,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,"Camera mounting interface (front-facing, for localization/obstacle detection)",unknown,unknown,unknown,unknown,unknown,unknown,unknown,Prototype (published academic delivery-robot design),unknown,unknown,unknown,unknown,unknown,"A published autonomous-delivery-robot design paper describes an RGBD camera mounted to get front-view images and 3D depth maps with an 8-meter range for localization and obstacle identification, but does not describe the mount's own material, process, or tolerance.",https://arxiv.org/pdf/2103.09229,Academic paper (arXiv preprint),2021,documentation_verified (functional description only),fact (system-level only),No mount-part material/process/tolerance in the source,"Kept to show the sensor exists and is mounted, but the mount-part manufacturing detail itself is a gap"
R019,2026-09-19,US,Inspection/field robot,Quadruped inspection robot sensor payload mount,sensor/camera mount,Sensor payload deck,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,"No source found giving material/process/tolerance detail for the sensor-payload mounting deck on a quadruped inspection robot (ANYmal/Vision 60/Spot); public sources describe the platform overall (carbon fiber + aluminum body, see R033/R034) but not the payload-mount RFQ specifics.",unknown,unknown,unknown,unknown,unknown,Entire record is a gap marker,Deliberate gap-marker row
R020,2026-09-19,US,Maker/startup-built custom robot systems,Untethered robotic impactor for water-entry experiments (research robot),battery/electronics enclosure,Main housing (structure + battery + electronics),Main housing with battery pocket,"Machined pocket for battery, clamped with rubber-tipped set screws, sandwiched between PCBs on either side",Custom housing around bought-in battery cells/PCBs,ASTM 6061-T6 aluminum,CNC machining,unknown,unknown,unknown,None,unknown,unknown,unknown,Battery pocket / PCB sandwich interface,Rubber-tipped set screws (battery clamping),Battery clamped in place with rubber-tipped set screws; sandwiched between PCBs,unknown,unknown,unknown,unknown,unknown,Prototype (research robot),unknown,unknown,unknown,Single-process (machining) as described,None,"A published research-robot paper (CyberDiver, an untethered robotic impactor) states its primary structure is a main housing machined from ASTM 6061-T6 aluminum, with a pocket for the battery clamped in place with rubber-tipped set screws and sandwiched between PCBs on either side.",https://arxiv.org/pdf/2503.20702,Academic paper (arXiv preprint),2025,documentation_verified,fact,"No tolerance, finish, or inspection detail given in the paper","Real, specific, named-system evidence — one of the strongest maker/research-robot records in this dataset"
R021,2026-09-19,US,AMR/warehouse/logistics,Mobile robot / AGV battery pack enclosure,battery/electronics enclosure,Battery pack enclosure,Battery pack enclosure with lid,Battery-cell compartment geometry; O-ring sealing groove on lid,Custom enclosure around bought-in battery cells,unknown (vendor generalization does not name a specific alloy),CNC machining,unknown,unknown,unknown,None,unknown,Cell-to-cell clearance tolerance ±0.1 mm; sealing surfaces/O-ring grooves ±0.001 in general / ±0.0005 in critical (vendor-stated),unknown,O-ring sealing groove on enclosure lid (IP54/IP67 sealing),unknown,unknown,Seal integrity for IP54/IP67 rating,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,"Vendor marketing for custom CNC-machined battery-pack enclosures (for UAV/AGV/robotics/portable instruments) states battery-cell compartment geometry with cell-to-cell clearance tolerance ±0.1 mm and an O-ring sealing groove on the lid for IP54/IP67 protection, holding ±0.001 in on general features and ±0.0005 in on critical sealing surfaces/O-ring grooves.",https://www.rivcut.com/cnc-machining/springfield/automotive/ev-battery-enclosures/,Manufacturer/vendor site,unknown,supplier_marketing,"fact (vendor-claimed, generic)","No named OEM, no material grade",vendor-claimed
R022,2026-09-19,US,Humanoid/general-purpose,Humanoid robot control/electronics enclosure,battery/electronics enclosure,Control module enclosure,Sealed electronics housing,"Machined PCB pocket, connector cutouts, EMI grounding pads, machined O-ring gland, threaded service bosses",Custom,6061-T6 aluminum,CNC machining,unknown,Black anodize (bead-blasted),unknown,None,unknown,unknown,unknown,O-ring gland (sealed enclosure); EMI grounding pad interface,Threaded service bosses,unknown,Seal integrity for vibration- and coolant-exposed environments (per vendor claim),unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,Multi-process (machining + anodize),None,"Vendor case-study page describes a CNC-machined 6061-T6 aluminum electronics housing with a machined PCB pocket, connector cutouts, EMI grounding pads, and black-anodize finish, and separately a sealed control-module enclosure with a machined O-ring gland, threaded service bosses, and bead-blasted black anodize for vibration- and coolant-exposed environments.",https://www.charmaxprecision.com/case-studies/aluminum-electronics-housing/,Manufacturer/vendor site (case study),unknown,supplier_marketing,"fact (vendor-claimed, generic robotics/electronics housing case study, not confirmed tied to a named humanoid OEM)","No named OEM, no tolerance numbers given",vendor-claimed; applied here to the humanoid family as a representative electronics-enclosure case study since no humanoid-specific enclosure source was found
