ID nguon,Loại robot,Material,Manufacturing process,Custom part/assembly lien quan,Nguon URL,Do tin cay
R015,Cobot/industrial arm/machine tending,"AL6061-T6, AL7075-T6, various stainless steels",CNC machining or 3D printing depending on complexity/volume,Custom EOAT/gripper structure,https://www.emicorp.com/eoat-solutions,medium
R016,Cobot/industrial arm/machine tending,unknown (implied metal per 'CNC machined'),CNC machining,Custom EOAT/gripper structure,https://eoatmachining.com/products,low
R017,Cobot/industrial arm/machine tending,unknown (fixture material not specified; workpiece is titanium),Precision fixture fabrication + hydraulic clamping,Custom fixture/jig,https://amdmachines.com/solutions/machine-tending/,low
R018,Cobot/industrial arm/machine tending,unknown,CNC machining or 3D printing (both explicitly offered as alternative routes),Custom fixture/jig,https://www.protolabs.com/resources/blog/create-jigs-and-fixtures-with-cnc-machining-and-3d-printing/,low
R019,Cobot/industrial arm/machine tending,unknown,CNC machining,Sensor/camera mount assembly,https://www.jacoworks.com/industries-served/robotic-components,low
R020,Cobot/industrial arm/machine tending,Aluminum 6061/7075 for lighter payloads (<25kg); 4140 steel; 304 stainless; Delrin; PEEK; A2 tool steel hardened to 53 RC for wear-resistant fingers; H13 tool steel for high-temp/impact tooling; TiN coating for durability,"CNC machining (precision tolerances up to +/-0.001in general, +/-0.0005in on critical grip surfaces) + heat treatment (hardening) + coating (TiN)",Custom EOAT/gripper structure,https://www.rivcut.com/cnc-machining/robotics/gripper-components/,medium
R021,Agriculture robot,unknown (implied metal),"CNC machining, fast turnaround",Mounting bracket / adapter assembly,https://www.mccartyfabrication.com/agriculture,low
R022,Agriculture robot,"Aluminum, steel, brass, plastics",CNC machining,Mounting bracket assembly,https://www.beskamold.com/products/custom-cnc-machined-brackets/,low
R023,Agriculture robot,unknown,"unknown (research prototype, fabrication method not detailed)",Custom EOAT/gripper structure (harvesting end-effector),https://arxiv.org/pdf/1810.11920,high
R024,Agriculture robot,TPU (3D printed base layer) + Ecoflex 00-30 silicone elastomer (molded air-chamber layer); also 1.75mm TPE filament variant,3D printing (FDM) + silicone molding (combined multi-material assembly),Custom EOAT/gripper structure,https://www.frontiersin.org/journals/robotics-and-ai/articles/10.3389/frobt.2023.1330496/full,high
R026,Inspection/field robot,"Aluminum 6061-T6/7075-T6 (shallow-rated); Titanium Grade 5 (deep-rated); anodized aluminum, stainless steel also used",5-axis CNC machining,Protective enclosure (pressure housing),https://waykenrm.com/blogs/underwater-rov-design-and-customization/,medium
R027,Inspection/field robot,Titanium alloy,Precision machining of titanium,Protective enclosure (pressure housing),https://www.mk-titanium.com/machining-titanium/machining-titanium-for-subsea/titanium-subsea-pressure-housings.html,low
R028,Inspection/field robot,unknown (catalog product; some customization available),unknown,Protective enclosure,https://bluerobotics.com/store/watertight-enclosures/wte-vp/,low
R029,Inspection/field robot,Carbon fibre + light aluminium alloys,Composite fabrication + CNC machining (implied by 'light aluminium alloys'),Sensor/camera mount assembly (gimbal),https://www.unmannedsystemstechnology.com/feature/developing-a-custom-weatherproof-gimbal-for-a-power-line-inspection-drone/,medium
R030,Inspection/field robot,Aluminum,"CNC machining, with a documented re-machining/design revision cycle",Sensor/camera mount assembly (gimbal),https://www.cnctal.com/uav-parts/,medium
R031,Service robot,unknown,unknown (positioned as 'custom manufacturer' offering design-phase-to-after-sales support),Chassis/enclosure (whole-robot level),https://www.reemanrobotics.com/cleaning-robot-commercial/,low
R032,Service robot,unknown,Sheet metal forming (custom enclosures),Protective enclosure,https://epromfg.com/robot-housing-manufacturer-sheet-metal-custom-enclosures/,low
R033,Service robot,"Lightweight aluminum (5052/6061) for enclosures; rigid stainless steel for base frames (general robotics sheet-metal fabrication norm, not confirmed specific to Starship/Serve by name)",Laser cutting + CNC press-brake forming,Protective enclosure; base frame,https://www.starship.xyz/our-robots/,low
R034,Mining/autonomous haulage,unknown,"unknown (retrofit installation, not a described fabrication process)",Retrofit kit (sensor/control integration onto legacy truck),https://www.itnews.com.au/news/rio-tinto-starts-autonomous-retrofits-for-haul-trucks-480041,high
R037,Mining/autonomous haulage,unknown,"unknown (fastened assembly: screws, bolts, nuts, adhesives, tapes, ties, ropes, clamps cited as integration methods)",Sensor/camera mount assembly (retrofit sensor support structure),https://pmc.ncbi.nlm.nih.gov/articles/PMC13431312/,medium
R038,Exoskeleton/wearable robot,AL6061-T6 aluminum (most common for housings/stator mounts); titanium alloys and reinforced polymers as alternatives for higher-spec applications,"CNC milling, turning, EDM, or grinding for critical structural components at high-stress concentration points",Joint housing assembly; load-bearing frame,https://waykenrm.com/blogs/custom-machined-exoskeleton-robot/,medium
R039,Exoskeleton/wearable robot,unknown,unknown (case-study level),Joint housing assembly; custom fit bracket,https://waykenrm.com/case-studies/custom-manufacturing-and-solutions-with-exoskeleton-robot-components/,low
R040,Maker/startup-built custom robot systems,unknown (varies by part),"CNC machining and/or 3D printing, sourced via on-demand manufacturing marketplace",Various (whatever the startup's product requires),https://www.fictiv.com/articles/prototyping-lead-time-process-timelines-and-how-to-reduce-delays,medium
R043,Maker/startup-built custom robot systems,unknown (multiple materials implied by mixed-process production),"CNC machining with multiple surface finishes + gear hobbing + Multi Jet Fusion (MJF) 3D printing + injection molding - explicitly multi-process, single supplier relationship","Various (actuator/robotics components, 14,500 parts across multiple types)",https://www.fictiv.com/case-studies/hebi-robotics,medium
R044,Đa loại robot (cross-category),n/a,"CNC machining, turning, EDM, 3D printing, vacuum casting, injection molding - multiple processes co-located",n/a,https://www.rpproto.com/blog/top-10-cnc-machining-services-company-in-china,low
R045,Đa loại robot (cross-category),n/a,"3- to 5-axis CNC machining, turning, EDM, 3D printing, vacuum casting, injection molding - all under one supplier",n/a,https://hlhrapid.com/cnc-machining-services/,low
R048,Đa loại robot (cross-category),Metal and plastic (general),CNC machining and cutting,n/a (general capability),https://robycstechnology.com.au/cnc-machining-sydney/,low
R057,Đa loại robot (cross-category),unknown,CNC machining (reverse-engineered from CAD model and/or physical part),n/a (varies),https://www.boona-prototypes.com/mro-cnc-machining-obsolete-parts/,low
R058,Exoskeleton/wearable robot,Aluminum and titanium (named: the flagship Ekso model is described as a 50-pound aluminum-and-titanium suit),"unknown (specific process not detailed in this source, though aluminum/titanium structural parts in this weight/strength class are consistent with CNC-machined or machined+welded frame construction per other rows in this dataset)",Load-bearing frame; joint housing assembly,https://slate.com/technology/2013/03/robotic-exoskeletons-ekso-bionics-builds-a-real-life-iron-man.html,medium
R059,Service robot,unknown,unknown (not detailed in this source),Custom EOAT/gripper structure; chassis/mobile-base assembly,https://www.therobotreport.com/diligent-robotics-moxi-2-0-mobile-manipulator-built-for-ai/,high
R062,Exoskeleton/wearable robot,Extruded aluminum,"Bolt-on modular attachment (extrusion-based, not full custom machining) - explicitly chosen to reduce cost/complexity on alpha units",Custom fit bracket / task-specific attachment; load-bearing frame,https://exoskeletonreport.com/2019/12/guardian-xo-alpha-up-close-and-personal-with-the-sarcos-robotics-full-body-powered-exoskeleton/,medium
R063,Agriculture robot,unknown,"unknown (manufactured at SwarmFarm's own Toowoomba, Queensland facility)",Chassis/frame assembly (customizable mounting frame),https://harnessmasternsw.com.au/case_study/swarmfarm-robotics-collaborates-with-experts/,medium
R064,AMR/warehouse/logistics,"Aluminum 6061-T6, Magnesium Alloy, Steel 4140","Precision machining, with viscoelastic damping materials or tuned mass dampers integrated into the bracket assembly for vibration isolation",Sensor/camera mount assembly,https://frigate.ai/en-lu/product/robotic-vision-camera-bracket/,low
R065,Đa loại robot (cross-category),n/a,3D printing (additive) vs. CNC machining (subtractive) - explicit volume-based decision framework,n/a,https://www.zintilon.com/blog/cnc-milling-vs-3d-printing-in-low-volume-production/,medium
