ID,Ngày thu thập,Quốc gia,Loại robot,Dạng sản phẩm robot / use case,Buyer/User type,Custom assembly,Custom part,Material,Manufacturing process,Technical requirement / tolerance / finish,Lifecycle stage,Revision intensity signal,Repeat / replacement signal,Single-process / multi-process,China manufacturing-fit signal,US/AU sourcing-friction signal,Raw claim / fact,Source URL,Source type,Publication date,Confidence,Fact / inference / hypothesis,Unknown / gap,Notes
R011,2026-09-19,Global (China fabricator),AMR/warehouse/logistics,AMR robot welded chassis,AMR robot OEM,Welded chassis assembly,Welded frame,"unknown (sheet metal, grade unspecified)",Sheet metal fabrication + welding (precision sheet metal fab specifically marketed for 'robot welding chassis'),unknown,Production,unknown,Production/repeat,Multi-process (fab + welding),Sheetmetalchina.com markets a dedicated product line for 'AMR Robot Welding Chassis' as precision sheet-metal fabrication - a China custom-sheet-metal manufacturer explicitly targeting this exact AMR part category,unknown,A named China sheet-metal manufacturer markets 'AMR Robot Welding Chassis Precision Sheet Metal Fabrication' as a specific product/service line.,https://www.sheetmetalchina.com/robot-welding-chassis/,Manufacturer/vendor site (China),unknown,low,fact (vendor claim),No customer/spec detail beyond product-line naming,
R012,2026-09-19,Global (China fabricator),AMR/warehouse/logistics,"AMR robot controller enclosure, EOAT frame, vision housing, AGV/AMR structure (build-to-print)",AMR/AGV robot OEM,AGV/AMR structure; robot controller enclosure; EOAT frame; vision housing,Structural frame member; controller enclosure; EOAT frame member; vision/camera housing,unknown,Build-to-print sheet metal fabrication,unknown,"unknown (build-to-print implies customer-supplied drawings, so likely production/repeat)",unknown,"Repeat implied (build-to-print supplier relationship, not one-off)",Multi-process across the listed assemblies (fab + finishing),"DRAmetal explicitly offers build-to-print sheet metal fabrication for robotics OEMs covering AGV and AMR structures, robot controller enclosures, EOAT frames, and vision housings - broad multi-assembly China capability evidence",unknown,"DRAmetal provides build-to-print sheet metal fabrication for robotics OEMs including AGV and AMR structures, robot controller enclosures, EOAT frames, and vision housings.",https://drametal.com/industries/robotics/,Manufacturer/vendor site,unknown,low,fact (vendor claim),Country of manufacture not explicitly confirmed as China in snippet (needs verification),
R013,2026-09-19,Global (China fabricator),AMR/warehouse/logistics,AMR/AGV picking and storage tray,AMR/AGV robot OEM or warehouse integrator,Custom metal tray (payload-carrying structure),Custom sheet-metal tray,"unknown (metal, grade unspecified)",Sheet metal fabrication,unknown,unknown,unknown,unknown,unknown,Named China custom sheet-metal manufacturer markets a specific 'Logistics AGV AMR Robot Picking Storage Custom Metal Tray' product line,unknown,A China custom sheet-metal manufacturer offers a dedicated 'AGV AMR Robot Picking Storage Custom Metal Tray' product/service.,https://www.sheetmetalchina.com/custom-metal-tray/,Manufacturer/vendor site (China),unknown,low,fact (vendor claim),No spec/tolerance/material detail,
R014,2026-09-19,US,AMR/warehouse/logistics,"AS/RS, AGV and conveyor structural components",Material-handling/warehouse-automation OEM,Welded main structural frame (AMR),Structural frame member,unknown,Welding + structural fabrication,unknown,Production (heavy-duty structural),unknown,Production/repeat,unknown (at least welding + fabrication),n/a (US-based),unknown (implicitly a US-based alternative to China sourcing for AMR structural frames),"McAlpin Industries manufactures structural components and heavy-duty robotic welded main structural frames for AMRs, and produces AS/RS, AGV and conveyor parts, as a US material-handling/warehouse-automation manufacturer.",https://www.mcalpin-ind.com/industries/material-handling,Manufacturer/vendor site (US),unknown,low,fact (vendor claim),No spec detail,"Evidence a domestic-US supply option exists for AMR structural frames, relevant to US friction/onshoring comparison"
R015,2026-09-19,US,Cobot/industrial arm/machine tending,Custom EOAT for cobot pick-and-place / machine tending,Cobot integrator / end user (manufacturer automating a process),Custom EOAT/gripper structure,Gripper jaw; mounting plate/bracket; nest,"AL6061-T6, AL7075-T6, various stainless steels",CNC machining or 3D printing depending on complexity/volume,unknown numeric tolerance in this source,"unknown (engineer-to-order per application, implies prototype-first)",Implied high - 'specialized gripper jaws based on years of expertise solving customer applications from simple to complex' suggests iterative application-specific design,"Custom/one-off per application, but the supplier repeats the engineering process across many customers","Multi-process (machined or 3D-printed, mixed-material assemblies)",unknown,unknown,"EMI Corp engineers design specialized gripper jaws for cobot EOAT based on customer applications from simple to complex, machined or 3D printed, using AL6061-T6, AL7075-T6, and various stainless steels; the company has focused on custom EOAT for over 20 years.",https://www.emicorp.com/eoat-solutions,Manufacturer/vendor site (US),unknown,medium,fact (vendor claim with specific material grades),No named customer/application,
R016,2026-09-19,US,Cobot/industrial arm/machine tending,CNC machined robot end-effector product families,Cobot/robot integrator,Custom EOAT/gripper structure,"Mixed-material gripper components (jaws, brackets, plates)",unknown (implied metal per 'CNC machined'),CNC machining,unknown,unknown,unknown,unknown,unknown,unknown,unknown,EOAT Machining offers CNC-machined robot end-effector product families as a dedicated business line for robot EOAT components.,https://eoatmachining.com/products,"Manufacturer/vendor site (US, dedicated EOAT CNC shop)",unknown,low,fact (vendor claim),No spec detail retrieved,"Existence of a dedicated 'EOAT machining' business category is itself evidence this is a distinct, demand-worthy custom-part niche"
R017,2026-09-19,US,Cobot/industrial arm/machine tending,Machine-tending fixture for CNC part loading (titanium blanks),Manufacturer automating CNC machine tending,Custom fixture/jig,Hydraulic workholding fixture,unknown (fixture material not specified; workpiece is titanium),Precision fixture fabrication + hydraulic clamping,Repeatability +/-0.05mm on the tending/fixture system,Production (integrated into an ongoing machine-tending cell),unknown,Production/repeat,unknown,unknown,unknown,"A robotic machine-tending example describes a robot on a linear rail tending multiple CNC machines, handling titanium blanks up to 8kg and loading them into hydraulic fixtures with +/-0.05mm repeatability.",https://amdmachines.com/solutions/machine-tending/,"Manufacturer/vendor site (US, machine-tending integrator)",unknown,low,"fact (vendor-described application example, specific numbers given)",No named customer; fixture material unspecified,Illustrates the fixture/jig custom-part category directly (issue example 'custom fixture/jig')
R018,2026-09-19,US,Cobot/industrial arm/machine tending,Jigs and fixtures for robotic/CNC workholding,Manufacturer/integrator,Custom fixture/jig,Jig/fixture body,unknown,CNC machining or 3D printing (both explicitly offered as alternative routes),unknown,Prototype/low-volume typical for jigs/fixtures (build-to-suit per production line),unknown,unknown,Either single-process (3D print) or CNC depending on the job - a genuine process-choice fork,unknown,unknown,"Protolabs markets creating jigs and fixtures via either CNC machining or 3D printing, positioning both as viable manufacturing routes depending on the application.",https://www.protolabs.com/resources/blog/create-jigs-and-fixtures-with-cnc-machining-and-3d-printing/,"Manufacturer/vendor blog (Protolabs, US/EU on-demand mfg marketplace)",unknown,low,fact (vendor claim),No robotics-specific example given,
R019,2026-09-19,US,Cobot/industrial arm/machine tending,"Custom sensor mounts for cobot/robot integration (camera, LiDAR, encoder)",Robot integrator / OEM,Sensor/camera mount assembly,Sensor mount bracket,unknown,CNC machining,unknown,unknown,unknown,unknown,unknown,unknown,unknown,"A California precision CNC machining supplier markets high-precision robotic mounts for cameras, LiDAR, encoders, and other sensors, along with custom machined brackets and fixtures, as a distinct robotics-industry service line.",https://www.jacoworks.com/industries-served/robotic-components,Manufacturer/vendor site (US),unknown,low,fact (vendor claim),No spec/customer detail,Sensor/camera mount assembly is directly named in the issue's list of custom assemblies
R020,2026-09-19,US,Cobot/industrial arm/machine tending,Robot gripper jaw / finger wear-resistant tooling,Cobot/robot integrator,Custom EOAT/gripper structure,Gripper jaw/finger,Aluminum 6061/7075 for lighter payloads (<25kg); 4140 steel; 304 stainless; Delrin; PEEK; A2 tool steel hardened to 53 RC for wear-resistant fingers; H13 tool steel for high-temp/impact tooling; TiN coating for durability,"CNC machining (precision tolerances up to +/-0.001in general, +/-0.0005in on critical grip surfaces) + heat treatment (hardening) + coating (TiN)",+/-0.001 inch general feature tolerance; +/-0.0005 inch on critical grip-surface dimensions; hardening to 53 RC; TiN coating for wear resistance,unknown,"Implied - 'adaptive fingers, specialized jaw designs, multi-position grippers with complex contours' suggests application-specific iteration",unknown,Multi-process (machining + heat treat + coating),unknown,unknown,"Robot gripper jaws/fingers are machined from a range of materials by application: aluminum 6061/7075 for lighter payloads, 4140 steel and 304 stainless for general use, tool steel (A2 hardened to 53 RC, H13 for high-temp/impact) for wear resistance, sometimes TiN-coated; precision tolerances of +/-0.001in general and +/-0.0005in on critical grip-surface dimensions are cited as achievable.",https://www.rivcut.com/cnc-machining/robotics/gripper-components/,Manufacturer/vendor site (US CNC shop),unknown,medium,fact (vendor-stated but material/tolerance detail is specific and internally consistent with known tooling practice),No named customer,Strong technical-requirement row: directly ties material+process+tolerance+heat-treat+coating together for one custom part
R021,2026-09-19,US,Agriculture robot,Agricultural robot/equipment custom mounting hardware,Ag equipment/robot OEM,Mounting bracket / adapter assembly,Bracket; bushing; plate; adapter,unknown (implied metal),"CNC machining, fast turnaround",unknown,unknown (repair/replacement implied by 'repairs' in company positioning),unknown,Repair/replacement signal explicit - company markets 'parts & repairs' for ag equipment,unknown,n/a (US-based),unknown (US domestic fast-turnaround positioning implies a lead-time pain point being solved),"McCarty Fabrication provides CNC machining for agricultural equipment, including brackets, bushings, plates, and adapters, with fast turnaround and nationwide shipping, explicitly positioned around 'parts & repairs.'",https://www.mccartyfabrication.com/agriculture,Manufacturer/vendor site (US),unknown,low,fact (vendor claim),Not robot-specific (general ag equipment); applied by category adjacency,'Repairs' positioning is itself repeat/replacement-signal evidence for ag hardware generally
R022,2026-09-19,"Global (vendor, tolerance data used for robotics/automation bracket category)",Agriculture robot,Custom bracket for robotic arm/automation mounting (applicable to ag robot mounts),Robot/automation OEM,Mounting bracket assembly,Custom CNC machined bracket,"Aluminum, steel, brass, plastics",CNC machining,Tight tolerance up to +/-0.005mm cited for bracket machining,unknown,unknown,unknown,unknown,Beska is a China-based custom CNC manufacturer marketing brackets specifically for 'robotic arms and automation systems where accurate positioning and stable mounting are crucial',unknown,"Beska manufactures custom CNC machined brackets with tight tolerance up to +/-0.005mm, available in aluminum, steel, brass, plastics, and various surface finishes, marketed specifically for robotic arm and automation mounting applications.",https://www.beskamold.com/products/custom-cnc-machined-brackets/,Manufacturer/vendor site (China),unknown,low,fact (vendor claim),Not ag-robot-specific in source; general robotics bracket capability applied by analogy,
R023,2026-09-19,"unknown (academic, general/EU research context)",Agriculture robot,Sweet pepper harvesting robot (protected cropping),Ag-tech research/robot developer,Custom EOAT/gripper structure (harvesting end-effector),Vacuum gripper + oscillating cutting blade end-effector,unknown,"unknown (research prototype, fabrication method not detailed)",unknown,Prototype/research stage,High - research harvesting end-effectors are iterated extensively per crop geometry,One-off/research prototype,Multi-function single assembly (gripping + cutting combined) - implies multi-process fabrication even if not detailed,unknown,unknown,"A sweet pepper harvesting robot end-effector removes the pepper by first gripping it with a vacuum gripper, then cutting through the stem with an oscillating blade - a dual-purpose custom harvesting tool.",https://arxiv.org/pdf/1810.11920,Academic paper (arXiv),2018 (arXiv:1810.11920),high,fact,"No manufacturing process/material/supplier detail - research paper focuses on mechanism, not fabrication",Illustrates why ag-robot end-effectors are inherently custom (crop-specific geometry) even though this source doesn't name a manufacturing process
R024,2026-09-19,unknown (academic),Agriculture robot,Soft gripper for small-fruit harvesting and pick-and-place,Ag-tech research/robot developer,Custom EOAT/gripper structure,Soft gripper finger (dual-layer),TPU (3D printed base layer) + Ecoflex 00-30 silicone elastomer (molded air-chamber layer); also 1.75mm TPE filament variant,3D printing (FDM) + silicone molding (combined multi-material assembly),unknown,Prototype/research,High (soft-robotics grippers are iterated per fruit type/size),One-off/research prototype,"Multi-process (3D printing + molding, two different materials in one assembly)",unknown,unknown,A soft gripper for small-fruit harvesting combines a 3D-printed TPU base layer for finger firmness with a molded Ecoflex 00-30 silicone air-chamber layer for elasticity; TPE filament (1.75mm) is cited as an alternative single-material 3D printing option.,https://www.frontiersin.org/journals/robotics-and-ai/articles/10.3389/frobt.2023.1330496/full,Academic paper (peer-reviewed journal),2023,high,fact,No commercial manufacturing/supplier/cost data,"Good example of a genuinely custom, multi-material, multi-process ag-robot part - though still research-stage, not yet a commercial RFQ"
R025,2026-09-19,unknown (academic),Agriculture robot,Avocado harvesting end-effector,Ag-tech research/robot developer,Custom EOAT/gripper structure,Avocado-specific end-effector,unknown,unknown,unknown,Prototype/research,unknown,unknown,unknown,unknown,unknown,"A dedicated end-effector was designed specifically for avocado harvesting, reflecting the crop-specific custom end-effector design pattern common across agricultural robotics research.",https://arxiv.org/pdf/2407.01809,Academic paper (arXiv),2024 (arXiv:2407.01809),medium,"fact (title/topic level, full mechanism/material detail not extracted)",Fabrication/material detail not retrieved from this source in this pass,Flagged for deeper follow-up read if this category is prioritized
R026,2026-09-19,"Global (China supplier, US/AU market via export)",Inspection/field robot,Underwater ROV pressure housing (shallow and deep-rated),ROV/AUV OEM or research institution,Protective enclosure (pressure housing),Pressure housing tube; end cap,"Aluminum 6061-T6/7075-T6 (shallow-rated); Titanium Grade 5 (deep-rated); anodized aluminum, stainless steel also used",5-axis CNC machining,Assembly surface tolerance ~0.025mm; surface roughness Ra 0.8 micrometers at O-ring interface; O-ring interface always held to tight tolerance even when the rest of the part has wide tolerance; wall thickness engineered against external pressure + safety factor + corrosion allowance over service life,Prototype through production (design considerations span both),unknown,unknown,Multi-process (machining of tube + end caps + O-ring groove finishing),"WayKen (China-based rapid manufacturing/CNC supplier) publishes detailed ROV housing design/tolerance guidance, indicating direct China manufacturing-capability depth in this niche pressure-housing process",unknown,"ROV pressure-resistant housings typically use aluminum alloys (6061-T6/7075-T6) for shallow systems and titanium Grade 5 for deep-rated applications; assembly surface tolerance of ~0.025mm and Ra0.8 surface roughness are required at the O-ring interface even though the rest of the housing may carry wider tolerance; wall thickness is calculated against external pressure, safety factor, and corrosion allowance.",https://waykenrm.com/blogs/underwater-rov-design-and-customization/,Manufacturer/vendor technical blog (China),unknown,medium,fact (technical/process claim consistent with known pressure-vessel design practice),No named customer/product,Strong technical-requirement + China-fit combined row
R027,2026-09-19,Global (China supplier),Inspection/field robot,Deep-rated subsea/underwater titanium pressure housing,ROV/AUV/subsea equipment OEM,Protective enclosure (pressure housing),Titanium subsea pressure housing,Titanium alloy,Precision machining of titanium,100% dimensional inspection on completion; only parts fully meeting tolerance requirements are released to the customer,Production,unknown,unknown,unknown,BJMK (China) explicitly markets 'Customized Titanium Subsea Pressure Housings' with 100% dimensional inspection before release - direct China export-QC capability evidence for this exact niche part,unknown,"BJMK, a China titanium-machining manufacturer, states that all underwater titanium pressure housings and end caps are 100% dimension-inspected upon completion, and only products fully meeting tolerance requirements are released to the customer.",https://www.mk-titanium.com/machining-titanium/machining-titanium-for-subsea/titanium-subsea-pressure-housings.html,Manufacturer/vendor site (China),unknown,low,fact (vendor claim),No third-party verification of the 100% inspection claim,
R028,2026-09-19,US,Inspection/field robot,"Watertight enclosures for ROVs, cameras, and sensors","ROV/marine robotics developer (research, hobbyist, small commercial)",Protective enclosure,Watertight enclosure tube,unknown (catalog product; some customization available),unknown,unknown,"Catalog/semi-custom, positioned for both off-the-shelf and integration use",unknown,unknown,unknown,unknown,unknown,"Blue Robotics (US) sells watertight enclosures for underwater ROVs, cameras, and sensors as a semi-standardized product line rather than fully bespoke custom manufacturing.",https://bluerobotics.com/store/watertight-enclosures/wte-vp/,Manufacturer/vendor site (US),unknown,low,fact (vendor product listing),"This is catalog/semi-custom, not a full custom-manufacturing RFQ example - kept only as a boundary case","Per issue scope rule, catalog parts should not receive research effort; included only to illustrate the catalog-vs-custom boundary for pressure housings, not as a core RFQ record"
R029,2026-09-19,US/UK (case example),Inspection/field robot,Power-line inspection drone with custom gimbal,Utility/infrastructure inspection operator or drone integrator,Sensor/camera mount assembly (gimbal),Weatherproof gimbal housing,Carbon fibre + light aluminium alloys,Composite fabrication + CNC machining (implied by 'light aluminium alloys'),Weatherproofing requirement explicit,Custom/one-off engineering development for a specific fixed-wing UAV platform,unknown,unknown,Multi-process (composite + metal + weatherproof sealing),unknown,unknown,"HD Air Studio developed a custom weatherproof gimbal for power-line inspection on a fixed-wing UAV, constructed from carbon fibre and light aluminium alloys.",https://www.unmannedsystemstechnology.com/feature/developing-a-custom-weatherproof-gimbal-for-a-power-line-inspection-drone/,Industry trade publication (feature article),unknown,medium,fact,No tolerance/volume/cost detail,
R030,2026-09-19,"Global (China CNC vendor, case study)",Inspection/field robot,Survey/mapping drone gimbal motor mount,Survey drone manufacturer,Sensor/camera mount assembly (gimbal),Motor mount (gimbal),Aluminum,"CNC machining, with a documented re-machining/design revision cycle",Motor mount flatness tolerance: initial 0.06mm flatness error caused image-blurring vibration transfer; re-machined to <=0.01mm flatness with controlled perpendicularity to fix the issue,"Production issue discovered after fielding, resolved via design/process revision",Direct revision-intensity evidence: a flatness spec was tightened (0.06mm -> <=0.01mm) after a field failure (image blur) traced to vibration,unknown,unknown,"CNCTAL (China) published this as a customer case study, showing China CNC supplier involvement in root-causing and resolving a tolerance-driven quality issue on a gimbal motor mount",unknown,"A survey drone manufacturer experienced image blurring during mapping flights traced to motor mount flatness; CNC-machined aluminum mounts with 0.06mm flatness error transmitted motor vibration into the gimbal frame, and re-machining the mounts to <=0.01mm flatness with controlled perpendicularity eliminated the vibration transfer.",https://www.cnctal.com/uav-parts/,Manufacturer/vendor case study (China),unknown,medium,"fact (vendor case study, but the engineering mechanism described - flatness/vibration/blur - is technically coherent)",Customer not named (anonymized case study),Rare example of revision intensity tied to a documented root-cause/fix cycle
