ID nguon,Loại robot,Custom assembly,Custom part lien quan,Material,Manufacturing process,Nguon URL
R037,Mining/autonomous haulage,Sensor/camera mount assembly (retrofit sensor support structure),Sensor mounting bracket/support structure,unknown,"unknown (fastened assembly: screws, bolts, nuts, adhesives, tapes, ties, ropes, clamps cited as integration methods)",https://pmc.ncbi.nlm.nih.gov/articles/PMC13431312/
R038,Exoskeleton/wearable robot,Joint housing assembly; load-bearing frame,Housing; stator mount; frame member,AL6061-T6 aluminum (most common for housings/stator mounts); titanium alloys and reinforced polymers as alternatives for higher-spec applications,"CNC milling, turning, EDM, or grinding for critical structural components at high-stress concentration points",https://waykenrm.com/blogs/custom-machined-exoskeleton-robot/
R039,Exoskeleton/wearable robot,Joint housing assembly; custom fit bracket,Housing; bracket,unknown,unknown (case-study level),https://waykenrm.com/case-studies/custom-manufacturing-and-solutions-with-exoskeleton-robot-components/
R040,Maker/startup-built custom robot systems,Various (whatever the startup's product requires),Various custom machined/printed parts,unknown (varies by part),"CNC machining and/or 3D printing, sourced via on-demand manufacturing marketplace",https://www.fictiv.com/articles/prototyping-lead-time-process-timelines-and-how-to-reduce-delays
R041,Maker/startup-built custom robot systems,"unknown (process-level, not a specific assembly)",unknown,unknown,unknown,https://premsaindustries.com/en/resources/blog/cad-file-to-cnc-machining-quote
R043,Maker/startup-built custom robot systems,"Various (actuator/robotics components, 14,500 parts across multiple types)","Various (multiple part types across a 14,500-part production run)",unknown (multiple materials implied by mixed-process production),"CNC machining with multiple surface finishes + gear hobbing + Multi Jet Fusion (MJF) 3D printing + injection molding - explicitly multi-process, single supplier relationship",https://www.fictiv.com/case-studies/hebi-robotics
R048,Đa loại robot (cross-category),n/a (general capability),Industrial robot system components,Metal and plastic (general),CNC machining and cutting,https://robycstechnology.com.au/cnc-machining-sydney/
R057,Đa loại robot (cross-category),n/a (varies),Reverse-engineered replacement part (obsolete/legacy),unknown,CNC machining (reverse-engineered from CAD model and/or physical part),https://www.boona-prototypes.com/mro-cnc-machining-obsolete-parts/
R058,Exoskeleton/wearable robot,Load-bearing frame; joint housing assembly,Frame member; joint housing,Aluminum and titanium (named: the flagship Ekso model is described as a 50-pound aluminum-and-titanium suit),"unknown (specific process not detailed in this source, though aluminum/titanium structural parts in this weight/strength class are consistent with CNC-machined or machined+welded frame construction per other rows in this dataset)",https://slate.com/technology/2013/03/robotic-exoskeletons-ekso-bionics-builds-a-real-life-iron-man.html
R059,Service robot,Custom EOAT/gripper structure; chassis/mobile-base assembly,Two-finger gripper; 7-degree-of-freedom arm structure; mobile base chassis,unknown,unknown (not detailed in this source),https://www.therobotreport.com/diligent-robotics-moxi-2-0-mobile-manipulator-built-for-ai/
R060,Service robot,Chassis/frame assembly (mobile courier cart form factor),Frame/body structure,unknown,unknown,https://www.seattlemet.com/health-and-wellness/2023/10/hospital-robots-nurses-health-care-moxi
R061,Mining/autonomous haulage,"Battery enclosure (implied by 'battery-electric' powertrain, not itemized in source); truck structure",unknown (specific custom parts not itemized in source),unknown,unknown,https://www.bhp.com/news/media-centre/releases/2025/12/bhp-and-rio-tinto-welcome-first-caterpillar-battery-electric-haul-trucks-to-the-pilbara
R062,Exoskeleton/wearable robot,Custom fit bracket / task-specific attachment; load-bearing frame,Bolt-on extruded-aluminum attachment (customized per task),Extruded aluminum,"Bolt-on modular attachment (extrusion-based, not full custom machining) - explicitly chosen to reduce cost/complexity on alpha units",https://exoskeletonreport.com/2019/12/guardian-xo-alpha-up-close-and-personal-with-the-sarcos-robotics-full-body-powered-exoskeleton/
R063,Agriculture robot,Chassis/frame assembly (customizable mounting frame),Frame; task-specific mounted implement interface,unknown,"unknown (manufactured at SwarmFarm's own Toowoomba, Queensland facility)",https://harnessmasternsw.com.au/case_study/swarmfarm-robotics-collaborates-with-experts/
R064,AMR/warehouse/logistics,Sensor/camera mount assembly,Sensor mounting bracket (LiDAR/camera),"Aluminum 6061-T6, Magnesium Alloy, Steel 4140","Precision machining, with viscoelastic damping materials or tuned mass dampers integrated into the bracket assembly for vibration isolation",https://frigate.ai/en-lu/product/robotic-vision-camera-bracket/
