ID nguon,Loại robot,Custom part,Material,Manufacturing process,Technical requirement / tolerance / finish,Nguon URL
R027,Inspection/field robot,Titanium subsea pressure housing,Titanium alloy,Precision machining of titanium,100% dimensional inspection on completion; only parts fully meeting tolerance requirements are released to the customer,https://www.mk-titanium.com/machining-titanium/machining-titanium-for-subsea/titanium-subsea-pressure-housings.html
R028,Inspection/field robot,Watertight enclosure tube,unknown (catalog product; some customization available),unknown,unknown,https://bluerobotics.com/store/watertight-enclosures/wte-vp/
R029,Inspection/field robot,Weatherproof gimbal housing,Carbon fibre + light aluminium alloys,Composite fabrication + CNC machining (implied by 'light aluminium alloys'),Weatherproofing requirement explicit,https://www.unmannedsystemstechnology.com/feature/developing-a-custom-weatherproof-gimbal-for-a-power-line-inspection-drone/
R030,Inspection/field robot,Motor mount (gimbal),Aluminum,"CNC machining, with a documented re-machining/design revision cycle",Motor mount flatness tolerance: initial 0.06mm flatness error caused image-blurring vibration transfer; re-machined to <=0.01mm flatness with controlled perpendicularity to fix the issue,https://www.cnctal.com/uav-parts/
R031,Service robot,Custom housing/enclosure,unknown,unknown (positioned as 'custom manufacturer' offering design-phase-to-after-sales support),unknown,https://www.reemanrobotics.com/cleaning-robot-commercial/
R032,Service robot,Sheet-metal robot housing,unknown,Sheet metal forming (custom enclosures),unknown,https://epromfg.com/robot-housing-manufacturer-sheet-metal-custom-enclosures/
R033,Service robot,Insulated compartment housing; base frame,"Lightweight aluminum (5052/6061) for enclosures; rigid stainless steel for base frames (general robotics sheet-metal fabrication norm, not confirmed specific to Starship/Serve by name)",Laser cutting + CNC press-brake forming,unknown,https://www.starship.xyz/our-robots/
R034,Mining/autonomous haulage,unknown (kit contents not itemized in source),unknown,"unknown (retrofit installation, not a described fabrication process)",unknown,https://www.itnews.com.au/news/rio-tinto-starts-autonomous-retrofits-for-haul-trucks-480041
R037,Mining/autonomous haulage,Sensor mounting bracket/support structure,unknown,"unknown (fastened assembly: screws, bolts, nuts, adhesives, tapes, ties, ropes, clamps cited as integration methods)",unknown,https://pmc.ncbi.nlm.nih.gov/articles/PMC13431312/
R038,Exoskeleton/wearable robot,Housing; stator mount; frame member,AL6061-T6 aluminum (most common for housings/stator mounts); titanium alloys and reinforced polymers as alternatives for higher-spec applications,"CNC milling, turning, EDM, or grinding for critical structural components at high-stress concentration points","unknown numeric tolerance in this exact source, but explicit requirement that housing dimensional tolerances must ensure proper alignment/assembly at attachment points and module interfaces",https://waykenrm.com/blogs/custom-machined-exoskeleton-robot/
R039,Exoskeleton/wearable robot,Housing; bracket,unknown,unknown (case-study level),unknown,https://waykenrm.com/case-studies/custom-manufacturing-and-solutions-with-exoskeleton-robot-components/
R040,Maker/startup-built custom robot systems,Various custom machined/printed parts,unknown (varies by part),"CNC machining and/or 3D printing, sourced via on-demand manufacturing marketplace",unknown,https://www.fictiv.com/articles/prototyping-lead-time-process-timelines-and-how-to-reduce-delays
R043,Maker/startup-built custom robot systems,"Various (multiple part types across a 14,500-part production run)",unknown (multiple materials implied by mixed-process production),"CNC machining with multiple surface finishes + gear hobbing + Multi Jet Fusion (MJF) 3D printing + injection molding - explicitly multi-process, single supplier relationship",Multiple surface finishes required across the part set,https://www.fictiv.com/case-studies/hebi-robotics
R048,Đa loại robot (cross-category),Industrial robot system components,Metal and plastic (general),CNC machining and cutting,unknown,https://robycstechnology.com.au/cnc-machining-sydney/
R057,Đa loại robot (cross-category),Reverse-engineered replacement part (obsolete/legacy),unknown,CNC machining (reverse-engineered from CAD model and/or physical part),Production-grade tight tolerances matched to OEM quality standards,https://www.boona-prototypes.com/mro-cnc-machining-obsolete-parts/
R058,Exoskeleton/wearable robot,Frame member; joint housing,Aluminum and titanium (named: the flagship Ekso model is described as a 50-pound aluminum-and-titanium suit),"unknown (specific process not detailed in this source, though aluminum/titanium structural parts in this weight/strength class are consistent with CNC-machined or machined+welded frame construction per other rows in this dataset)",unknown,https://slate.com/technology/2013/03/robotic-exoskeletons-ekso-bionics-builds-a-real-life-iron-man.html
R059,Service robot,Two-finger gripper; 7-degree-of-freedom arm structure; mobile base chassis,unknown,unknown (not detailed in this source),unknown,https://www.therobotreport.com/diligent-robotics-moxi-2-0-mobile-manipulator-built-for-ai/
R060,Service robot,Frame/body structure,unknown,unknown,unknown,https://www.seattlemet.com/health-and-wellness/2023/10/hospital-robots-nurses-health-care-moxi
R061,Mining/autonomous haulage,unknown (specific custom parts not itemized in source),unknown,unknown,unknown,https://www.bhp.com/news/media-centre/releases/2025/12/bhp-and-rio-tinto-welcome-first-caterpillar-battery-electric-haul-trucks-to-the-pilbara
R062,Exoskeleton/wearable robot,Bolt-on extruded-aluminum attachment (customized per task),Extruded aluminum,"Bolt-on modular attachment (extrusion-based, not full custom machining) - explicitly chosen to reduce cost/complexity on alpha units",unknown,https://exoskeletonreport.com/2019/12/guardian-xo-alpha-up-close-and-personal-with-the-sarcos-robotics-full-body-powered-exoskeleton/
R063,Agriculture robot,Frame; task-specific mounted implement interface,unknown,"unknown (manufactured at SwarmFarm's own Toowoomba, Queensland facility)",unknown,https://harnessmasternsw.com.au/case_study/swarmfarm-robotics-collaborates-with-experts/
R064,AMR/warehouse/logistics,Sensor mounting bracket (LiDAR/camera),"Aluminum 6061-T6, Magnesium Alloy, Steel 4140","Precision machining, with viscoelastic damping materials or tuned mass dampers integrated into the bracket assembly for vibration isolation",Precision tolerance ~+/-0.02mm for camera mounting; requirement for uniform contact surfaces via precision machining to eliminate micro-movements that disrupt focal stability during high-speed operation; accurate spatial positioning relative to the robot's coordinate system is called out as critical for machine-vision calibration/3D reconstruction accuracy,https://frigate.ai/en-lu/product/robotic-vision-camera-bracket/
