fact_id,robot_category,country,buyer_user,use_case,lifecycle_stage,adoption_growth_signal_raw_claim,confidence,fact_hypothesis_inference,missing_unknown,source_url
R023,Service robot,AU,Aged-care facilities,"Meal/laundry transport, companionship/wellness",pilot,Research study of 34 staff interactions with 10 service robots in a regional Australian aged-care facility found robots focused primarily on transporting meals and laundry.,high,fact,none,https://www.nature.com/articles/s41598-025-86255-w
R024,Service robot,AU,Aged-care / retirement living operators,Autonomous cleaning,low-volume,"SIMPPLE Australia deployed autonomous cleaning robots across 80+ retirement facilities (announced Aug 2025), described by the vendor as the largest robotic fleet in New Zealand's retirement-living sector.",low,supplier-claimed,none,https://incleanmag.com.au/ai-and-automation-transforming-aged-care-hygiene/
R025,Maker / hobby / education robot,US,K-12 and university students,"Robotics competitions (FIRST, VEX)",N/A,"93,000+ students in 35 countries competed in the 2025 FIRST Robotics Competition season (2024 season: 3,468 teams, 28 countries, 86,700+ students, 27,700 mentors). VEX has 20,000+ total registered teams across 50+ countries; 11,500+ teams from 40 countries played in 750+ tournaments in the past year.",high,fact,none,https://www.firstinspires.org/about/impact
R026,Maker / hobby / education robot,AU,K-12 / university students,"Robotics competitions, hobby builds",N/A,"No Australia-specific maker/hobby robotics participation statistics (e.g. AU FIRST/VEX team counts, AU maker-space robot-build volume) were located in this research pass.",low,inference,AU maker/hobby robotics scale: unknown,https://en.wikipedia.org/wiki/VEX_Robotics
R027,Startup-built custom robot systems,US,Venture-backed robotics startups (2-200+ person),"Humanoid, AMR, ag-robot, inspection-robot product development",N/A,Humanoid-robotics startups raised US$8.6B in 2026 year-to-date (1.8x all of 2025); Figure AI raised ~US$2.34B (valued $39B); Apptronik raised $520M extension of a $415M Series A (total >$935M). North America captured $3.76B / 82.2% of all disclosed robotics-startup capital; Infrastructure Service Robots led with $2.23B across 15 deals (48.7% of capital); seed rounds were only 3 deals / 0.74% of capital.,medium,fact,none,https://news.crunchbase.com/robotics/startup-venture-funding-surges-2026-data/
R028,Startup-built custom robot systems,AU,AU robotics startups (general),N/A,N/A,"No AU-specific robotics-startup funding aggregate (comparable to the US $8.6B 2026 YTD figure) was located in this research pass; AU-specific examples found were limited to individual companies (SwarmFarm, Agerris, Andromeda) rather than an aggregate market figure.",low,inference,AU startup robotics aggregate funding: unknown,https://news.crunchbase.com/robotics/startup-venture-funding-surges-2026-data/
R029,N/A (cross-category),Global,N/A,N/A,production,"Global industrial robot installations grew 15% to a record 621,000 units in the most recent full year reported by IFR; global forecast is 6% growth to 575,000 units in 2025; Asia accounted for 74% of new deployments in the most recent year vs 16% Europe, 9% Americas.",high,fact,none,https://ifr.org/ifr-press-releases/news/global-robot-demand-in-factories-doubles-over-10-years
R030,"N/A (cross-category, industrial robots)",US,"Automotive, food, metal/machinery, electrical-electronics manufacturers","Machine tending, assembly, material handling",production,"US industrial robot installations rose 11% YoY to 38,000 units in 2025 per IFR; food-industry adoption surged 30%; automotive remains largest adopter at 13,500 units (-1% YoY).",high,fact,none,https://ifr.org/ifr-press-releases/news/us-robot-industry-returns-to-double-digit-growth
R034,Humanoid,Global,OEM/integrator,Joint actuation (frameless / quasi-direct-drive motor),unknown,"Shenzhen's robot industry chain had 179.7bn yuan total output value in 2023, spanning upstream components through downstream system integration.",low,fact,Independent benchmark testing not cited in source — treat torque/cost figures as industry-tracker estimate,https://robotics.techbuzzchina.com/reports/actuators-motors.html
R035,Humanoid / quadruped,CN,Startup/maker integrator (also sold direct to hobbyists),Integrated joint/actuator module for build-your-own robot,production,"Integrated actuator ecosystem in China now includes multiple competing suppliers (Tihu, PhyArc, RobStride, Schaeffler China) offering off-the-shelf modules rather than requiring buyers to source motor+reducer+encoder+driver separately.",medium,fact,none,https://www.robohub.app/parts/robstride-04
R070,Maker/hobbyist,Global,Individual hobbyist / student,DIY 3D-printed robot arm build,prototype,"The 'Pedro' open-source project is a fully open-source 3D-printable educational robot arm with 6 rotational joints and a parallel-jaw gripper, using 7x Feetech STS3215 serial-bus servos, with a stated build cost of approximately US$220.",medium,fact,none,https://orobot.io/robots/arm
R071,"Maker/hobbyist, developer",Global,Individual developer / small team,Open-source robot-arm dev platform with full BOM disclosure,prototype,"The reBot-DevArm open-source project provides a detailed BOM with specifications and purchase links for every single screw, plus hardware blueprints/source files for both sheet-metal parts and 3D-printed parts — i.e. a maker-oriented project explicitly publishing sourcing data down to fastener level.",medium,fact,none,https://github.com/Seeed-Projects/reBot-DevArm
R072,"Maker/hobbyist, small integrator",Global,Individual / small team,Manufacturing-process selection guidance for robot-arm components,N/A,A US manufacturing-marketplace guide advises that robot-arm 'primary structural link bodies and actuator housings use CNC for prototype through pilot; bearing seats and precision mating interfaces use CNC; and secondary brackets use sheet metal' — explicit process-selection guidance aimed at exactly the maker/small-integrator audience named in the issue.,medium,supplier-claimed,none,https://www.fictiv.com/articles/robotic-arm-components-manufacturing
R073,"Maker/hobbyist, K-12/university",US,Student teams (K-12 through university),"Robotics competition builds (FRC, VEX)",N/A,"FIRST Robotics Competition and VEX Robotics are both cited as the two dominant K-12/university robotics-competition ecosystems in the US, with FIRST citing 93,000+ 2025-season student participants and VEX citing 20,000+ total registered teams across 50+ countries (11,500+ active in the past year).",high,fact,none,https://www.firstinspires.org/about/impact
R074,Maker/hobbyist,Global,N/A,3D printing as a driver of the maker robotics workflow,N/A,"The issue instructs not to assume a 3D-printing-driven trend without evidence. This research pass found direct evidence that at least some notable open-source maker robot-arm projects (Pedro, reBot-DevArm, and others catalogued at orobot.io) do center on FDM 3D printing for structural parts, but found no quantitative source (e.g. survey of maker robot builds by fabrication method) establishing what share of maker/startup robot builds use 3D printing vs CNC vs off-the-shelf extrusion.",medium,inference,Share of maker/hobbyist robot builds using 3D printing vs other fabrication methods: unknown (no survey-level source found),https://circuitdigest.com/articles/top-10-opensource-robotic-arms-for-beginners
R078,Humanoid,CN,OEM/integrator,Edge AI compute / robot controller,production,"Chinese humanoid robot makers are reported to be exploring RISC-V AI chips (e.g. the 'K3' chip powering 'Linglong 2.0' humanoids at a Beijing humanoid half-marathon) as an alternative to NVIDIA Jetson; separately, D-Robotics' RDK S100P offers a 128 TOPS INT8 module positioned as an alternative to Jetson Orin NX 16GB, but is currently targeted at the Chinese market only with no announced availability elsewhere.",medium,fact,Scale of RISC-V/domestic-chip adoption vs continued Jetson use across the CN humanoid industry not quantified,https://www.digitimes.com/news/a20260421PD231/robot-risc-v-nvidia-beijing-cpu.html
R083,Humanoid / general-purpose,AU,Warehouse/logistics operators,Warehouse humanoid pilot,pre-pilot,"As of end of August 2026, no Australian warehouse operator has publicly announced a live humanoid deployment, pilot, or proof of concept; NASA's Valkyrie robot worked at Woodside Energy (Perth) in 2023 as an industrial (not warehouse-logistics) use case. 20+ Unitree humanoid models are available via AU distributors, A$12,800-A$302,500.",medium,fact,"No AU warehouse humanoid pilot/deployment located (gap confirmed, closes Pass-1 gap #1 with an explicit negative-evidence record rather than silence).",https://www.ascla.org/humanoids-are-coming-to-the-warehouse/
R084,Maker / hobby / education robot,AU,K-12 / university students,Robotics competitions (VEX),N/A,VEX Robotics 2025-2026 Australian National Championships hosted 200 competitive robotics teams from across Australia competing for spots at VEX Worlds; South Australia was named the new host state for the biennial championship.,medium,fact,"No AU-equivalent of the US FIRST 93,000-student scale figure found; VEX AU is reported in team counts, not student counts, so direct US/AU comparison remains unknown.",https://news.vex.com/2025/03/17/australian-robotics-teams-aim-for-the-world-stage/
R085,Startup-built custom robot systems,AU,VC-backed robotics startups,Robotics/hardware startup funding,N/A,"Hardware, Robotics and IoT raised A$297M as part of total Australian startup funding in 2025; the 13 top-ranked AU robotics startups tracked by Seedtable have raised a combined US$339M to date (2026).",medium,fact,"Figure is sector-wide (hardware+robotics+IoT combined), not robotics-only; no single-year robotics-only AU total located.",https://www.cutthrough.com/insights/state-of-australian-startup-funding-2025
R086,"Multiple (humanoid, cobot, AMR)",unknown,unknown,unknown,N/A,"Kendrion, Warner Electric/Altra, Mayr, KEB, Miki Pulley and SEPAC each manufacture spring-applied electromagnetic holding brakes purpose-built for robot joints/servo motors (e.g. Warner WR220/WR225, Mayr ROBA-servostop, Miki Pulley BXR robotic-arm joint brake) for holding torque when power is removed.",medium,fact,No Chinese domestic holding-brake manufacturer or China-cost-advantage signal located for this specific component in this pass.,https://www.kendrion.com/en/industries/robotics/brake-technology
R087,"Multiple (humanoid, cobot, AMR)",unknown,unknown,unknown,N/A,"In China, 85% of the industrial robot servo motor (and associated driver) market is held by foreign brands (Yaskawa, Panasonic, Mitsubishi, Lenze, Bosch Rexroth); Chinese domestic manufacturers named include LS, EA, and Tonghang E-Drive.",medium,fact,"No separately-sourced evidence for the driver/controller board as distinct from the servo motor itself (they are usually bundled in available sources) — closes Pass-1 gap #6 partially, flagged as still coupled with motor data.",https://www.thservodrive.com/news/top-10-servo-motor-manufacturers-in-china-85274378.html
R088,"Multiple (industrial arm, cobot)",unknown,unknown,unknown,N/A,"ISO 10218-1:2025 and ISO 10218-2:2025 (revised industrial robot safety standard) specify functional-safety performance levels PL d / SIL 2 for Class II robots and PL b / SIL 1 for Class I robots per ISO 13849-1:2023 / IEC 62061:2021; ISO 13855 governs contactless safeguards (light curtains, laser scanners) used to detect humans near robots; unified safety architectures combine safety laser scanners, light curtains, 3D vision and safety PLCs.",high,fact,No specific US/AU/China manufacturer market-share breakdown for safety light curtains/laser scanners located in this pass.,https://www.iso.org/standard/73933.html
R089,"Multiple (humanoid, industrial arm)",unknown,unknown,unknown,N/A,"Established robot OEMs (FANUC, ABB, KUKA, Siemens) use integrated forced-air + heat-sink cooling; specialized suppliers (Lori, Keli Sensing/Ningbo, Zhejiang Sanhua, Ziitek, all China-based, plus US-based T-Global) offer purpose-built heat sinks, compact liquid-cooling modules for bipedal-robot joints, and PCM/thermal-gel/potting-compound solutions for humanoid actuator thermal management.",low,supplier-claimed,No independent (non-vendor) source quantifying thermal-management cost or US/AU local-capacity signal for this subsystem was located.,https://www.lorithermal.com/robot-cooling-solutions
R091,"Multiple (cobot, humanoid, surgical)",unknown,unknown,unknown,N/A,"6-axis force/torque sensors mounted at the robot wrist enable compliant manipulation and force-guided assembly; ATI's range spans a 17mm Nano17 up to the Omega331 (21,000 lbf); named suppliers span US (ATI, FUTEK), EU (OnRobot, Bota), Korea (Sunrise Instruments, Robotous) and China (Shenzhen Chengzhou KWR82 series for cobots/surgical/service robots; Changzhou Kunwei).",medium,fact,No price or market-share comparison between US/EU and Chinese torque-sensor makers located in this pass.,https://www.engineering.com/starter-guide-to-six-axis-force-and-torque-sensors/
R092,"Multiple (humanoid, cobot, AMR)",unknown,unknown,unknown,N/A,"China's robotic-bearing manufacturing is concentrated in named regional clusters (Henan/Luoyang, Guangdong Pearl River Delta, Shandong, Hunan, Anhui); crossed-roller bearings and constant-section thin-wall bearings are the primary bearing types used in robot joints, slewing units and precision rotary tables; Chinese suppliers are described as 'increasingly competing on technology, quality and reliability rather than just price' though quality/delivery inconsistency is also flagged.",low,supplier-claimed,"No US or AU domestic robot-grade precision-bearing manufacturer identified in this pass (a specific US/AU capacity gap, not yet confirmed as fully absent).",https://www.cwlbearing.com/blog/best-robot-bearing-suppliers-china-global-buyers/
R093,Agriculture robot,US,Row-crop / specialty-crop farmers,Laser/AI weeding,commercial,"Carbon Robotics launched a purpose-built 'large plant model' (LPM) for agriculture AI in Feb 2026, expanding its AI-powered LaserWeeder autonomous-farming product line; the US agricultural robots market is estimated at US$17.73B in 2025, projected to reach US$56.26B by 2030 (26.0% CAGR).",medium,fact,"Market figure is agriculture-robots-market-wide, not laser-weeding-specific.",https://www.researchandmarkets.com/articles/key-companies-in-agriculture-robots
R094,Agriculture robot,US,Strawberry/specialty-crop growers,Robotic harvesting,commercial,Harvest CROO Robotics specializes in automating strawberry picking; FarmWise Labs offers robotic platforms for selective weeding and plant-level analytics using a machine-learning-driven approach; both are named as frontrunners in US robotic harvesting/selective crop care.,medium,fact,No unit-deployment or revenue figures for Harvest CROO or FarmWise specifically located.,https://www.imarcgroup.com/united-states-agricultural-robots-market
R095,Agriculture robot,AU,Broadacre / row-crop farmers,Autonomous spraying / weeding fleet,commercial,SwarmFarm Robotics (Australia) develops autonomous agricultural robot fleets; LYRO Robotics (Australia) provides robotic picking and packing solutions; UTS Robotics Institute runs an agriculture-robotics research partnership aimed at Australian farm productivity/supply-chain optimization.,medium,fact,No AU agriculture-robot fleet-size or revenue figures located in this pass.,https://www.uts.edu.au/research/centres/robotics-institute/partner-us/agriculture-robotics
R096,Agriculture robot,unknown,unknown,unknown,N/A,"Agricultural-robot value chain spans sensors, cameras, LiDAR, GNSS modules, electric drives, actuators (hydraulic cylinders, linear/rotary motors) and flight controllers; in unstructured field environments, cameras, LiDAR, ultrasonic sensors and satellite navigation are combined for navigation and task execution (weeding, spraying, harvesting, sorting, livestock monitoring, milking, shearing, greenhouse automation).",medium,fact,none,https://pdfs.semanticscholar.org/7d2c/52cc8cadc20ee186e0033ca47cfd43d40546.pdf
R097,Inspection / field robot,US,Oil & gas pipeline operators; water utilities,Crawler-based pipeline/asset inspection,commercial,"Approximately 58% of US oil pipeline operators adopted robotic inspection systems during 2025; more than 41% of US water utility companies integrated crawler-based inspection robots into underground pipeline assessment; pipeline intelligent inspection robot market sized at US$1.2B in 2026, projected US$4.26B by 2035 (14% CAGR).",medium,fact,No AU-specific pipeline/utility inspection-robot adoption percentage located.,https://www.businessresearchinsights.com/market-reports/pipeline-intelligent-inspection-robot-market-115050
R098,Inspection / field robot,Global,Utility/grid operators,Powerline inspection,commercial,"Powerline Inspection Robots Market valued at US$659.1M (2025), projected US$760.6M (2026), reaching US$3,185.8M by 2036 (15.4% CAGR); driven by grid modernization and AI-driven asset inspection.",medium,fact,"Global figure, not US/AU split.",https://www.futuremarketinsights.com/reports/powerline-inspection-robots-market
R099,Service robot,US,Hospitals / healthcare facilities,Delivery robot / non-clinical task automation,commercial,"Service robot market estimated at US$72.46B in 2026, projected to exceed US$212B by 2034; healthcare accounts for ~25% of service-robot market share; hospitals deploying delivery robots report 30-50% reduction in supply-delivery time and 15-20% decrease in nursing time on non-clinical tasks.",medium,fact,Global figure not US-only; hospital efficiency stats source not independently verified against a primary hospital study.,https://www.idtechex.com/en/research-report/service-robots/1139
R100,Service robot,US,Commercial real estate / hospitality operators,Commercial cleaning robot,commercial,"US Commercial Cleaning Robots Market reached US$657.2M in 2025, projected to reach US$3,326.6M by 2033 (22.7% CAGR), led by floor-cleaning robots (~50% share); RaaS (Robotics-as-a-Service) represents 60% of the service-robot deployment model vs 40% ownership.",medium,fact,none,https://www.openpr.com/news/4551399/future-of-u-s-commercial-cleaning-robots-market-2026-market
R101,Service robot,US,Luxury hotel operators,Hospitality/guest-service robot,commercial,"Global Hospitality Robot Market reached ~US$0.79B in 2025, projected US$0.98B in 2026 rising to US$7.05B by 2035 (24.5% CAGR); over 45% of luxury hotels have deployed service robots to enhance guest safety/operational efficiency.",low,fact,Global figure and '45% of luxury hotels' stat source methodology not independently verified.,https://www.marketresearchfuture.com/reports/hospitality-robot-market-26539
R102,AMR / warehouse / logistics,US,3PL / e-commerce fulfillment,Pick-assist / goods-to-person AMR fleet,commercial,"Global warehouse robotics market reached US$8.2B in 2025 (45% annual growth); Locus Robotics reported deployments at 350+ sites worldwide (April 2026) and surpassed 4 billion cumulative picks; Amazon operates 750,000+ robots across its global fulfillment network; 6 River Systems (acquired by Shopify 2019, then Ocado 2023) runs the 'Chuck' collaborative-AMR model.",medium,fact,Global/US figures blended; no AU-specific AMR-warehouse adoption figure located in this search round.,https://standardbots.com/blog/warehouse-robotics-companies
R103,Cobot / industrial arm / machine tending,US,Automotive / metal-machining manufacturers,"Machine tending (die casting, press tending, welding)",commercial,"US collaborative-robot market projected at ~US$2B in 2026 (global cobot market US$2.28B in 2026); Machine Tending is the highest-valuation US cobot application segment at US$850.0M; Universal Robots holds ~40% global cobot market share with 100,000+ installed units and introduced UR8 Long/UR15/UR18/UR30 models (2024-2025) targeting heavy machine-tending payload gaps in metal machining, die casting and press tending.",medium,fact,"This is one of at least two cobot-market-size figures found across Pass 1 + Pass 2 that materially disagree — kept as a separate record per raw-data rule (see Pass-1 gap #9), not merged/averaged.",https://robotomated.com/learn/market/cobot-adoption-manufacturing-2026
R104,Multiple,Global,unknown,unknown,N/A,"US 2026 injection-molding tooling runs US$15,000-120,000 with parts at US$0.35-6.00 (assuming 4-cavity hardened-steel mold, 25-35s cycle, robotic pick/place, US Gulf resin pricing); China tooling costs 40-65% less nominally, 35-50% less on true landed cost after including Section 301 tariffs (25-50% on Chinese plastic goods), freight, inventory carry and quality-escalation costs.",medium,fact,No AU-specific injection-molding cost/tariff data located.,https://www.jaycon.com/2026-injection-molding-pricing-report-us-costs-reshoring-tooling-data/
R108,Multiple,US,unknown,unknown,N/A,"Electrical Steel Lamination Market valued at US$29.4B in 2026, projected to expand to US$57.8B by 2035; electrical steel prices up 60-80% since 2020; US federal Advanced Manufacturing Production Credit subsidizes domestic lamination production as an onshoring incentive; transformer-OEM supply-chain risk planning is dominated by US-China tariff exposure, with production concentrated in China, Japan and Germany.",low,fact,No AU electrical-steel capacity/import-dependency figure located.,https://markwideresearch.com/electrical-steel-lamination-market
R111,Startup-built custom robot systems,unknown,2-15 person hardware-robotics startup team,CAD-to-prototype-to-BOM workflow,N/A,"Typical hardware-startup prototyping workflow: define acceptance criteria/critical dimensions before build -> CAD in Onshape/SolidWorks/Fusion -> export clean STEP (machining) or STL (additive) files for quoting -> maintain a synced Bill of Materials (BOM) with part numbers/manufacturers/specs (manual BOM re-entry per revision flagged as a common build-error source) -> use modular/off-the-shelf components (microcontrollers, sensor modules, motor controllers) where possible to reduce custom-part scope -> use cable-assembly vendors rather than build wiring in-house.",medium,fact,"Still no source-quantified breakdown for the specific 2-10 person startup tooling budget/scale (Pass-1 gap #7); this closes the workflow-sequence gap, not the cost/scale gap.",https://additive3dasia.com/news/example-rapid-prototyping-workflow-hardware-startups/
R112,Startup-built custom robot systems,unknown,Solo founder / very small team,Hardware-startup team composition risk,N/A,"A solo founder building a robotics hardware company is described by investors as a 'red flag' because of the breadth of required expertise spanning mechanical, electrical, software, ML and domain knowledge; a minimum viable robotics build team is typically described as needing at least one mechanical/electrical engineer able to design a custom PCB, select actuators and build a prototype using 3D printing and CNC.",low,inference,"Qualitative investor-perception claim, not a quantified survey of team-size distribution.",https://www.roboticscenter.ai/learn/how-to-start-robotics-company
R118,Multiple,US,unknown,unknown,N/A,"US robot shipments are forecast to grow from ~45,000-46,000 units in 2025 to ~120,000 units by 2030, explicitly linked in the source to the labor-shortage-driven automation push; new roles cited as emerging from automation include Automation Technician, Controls Specialist, Maintenance Technician, Field Service Engineer.",medium,fact,none,https://www.etftrends.com/artificial-intelligence-content-hub/labor-shortage-is-forcing-a-robot-revolution-in-u-s-manufacturing/
