ID,Ngày thu thập,Quốc gia,Loại robot,Buyer/User,Use case,Lifecycle stage,Subsystem,Component,Material,Manufacturing process,Supplier/Company,Supplier country/region,China advantage signal,US/AU friction signal,Raw claim / fact,Source URL,Source type,Publication date,Exact evidence snippet / paraphrase ngắn,Confidence,Fact / Hypothesis / Inference,Missing / Unknown,Notes
R093,2026-09-19,US,Agriculture robot,Row-crop / specialty-crop farmers,Laser/AI weeding,commercial,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,"Carbon Robotics launched a purpose-built 'large plant model' (LPM) for agriculture AI in Feb 2026, expanding its AI-powered LaserWeeder autonomous-farming product line; the US agricultural robots market is estimated at US$17.73B in 2025, projected to reach US$56.26B by 2030 (26.0% CAGR).",https://www.researchandmarkets.com/articles/key-companies-in-agriculture-robots,market research report,2026-02,Paraphrase captured directly in the Raw claim / fact column above (see Source URL for original wording).,medium,fact,"Market figure is agriculture-robots-market-wide, not laser-weeding-specific.",
R094,2026-09-19,US,Agriculture robot,Strawberry/specialty-crop growers,Robotic harvesting,commercial,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,Harvest CROO Robotics specializes in automating strawberry picking; FarmWise Labs offers robotic platforms for selective weeding and plant-level analytics using a machine-learning-driven approach; both are named as frontrunners in US robotic harvesting/selective crop care.,https://www.imarcgroup.com/united-states-agricultural-robots-market,market research report,2025,Paraphrase captured directly in the Raw claim / fact column above (see Source URL for original wording).,medium,fact,No unit-deployment or revenue figures for Harvest CROO or FarmWise specifically located.,
R095,2026-09-19,AU,Agriculture robot,Broadacre / row-crop farmers,Autonomous spraying / weeding fleet,commercial,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,SwarmFarm Robotics (Australia) develops autonomous agricultural robot fleets; LYRO Robotics (Australia) provides robotic picking and packing solutions; UTS Robotics Institute runs an agriculture-robotics research partnership aimed at Australian farm productivity/supply-chain optimization.,https://www.uts.edu.au/research/centres/robotics-institute/partner-us/agriculture-robotics,university / research institute,unknown,Paraphrase captured directly in the Raw claim / fact column above (see Source URL for original wording).,medium,fact,No AU agriculture-robot fleet-size or revenue figures located in this pass.,
R096,2026-09-19,unknown,Agriculture robot,unknown,unknown,N/A,Perception / sensor,Machine vision / LiDAR / GNSS module / inertial sensor,unknown,unknown,unknown,unknown,unknown,unknown,"Agricultural-robot value chain spans sensors, cameras, LiDAR, GNSS modules, electric drives, actuators (hydraulic cylinders, linear/rotary motors) and flight controllers; in unstructured field environments, cameras, LiDAR, ultrasonic sensors and satellite navigation are combined for navigation and task execution (weeding, spraying, harvesting, sorting, livestock monitoring, milking, shearing, greenhouse automation).",https://pdfs.semanticscholar.org/7d2c/52cc8cadc20ee186e0033ca47cfd43d40546.pdf,academic paper (review),unknown,Paraphrase captured directly in the Raw claim / fact column above (see Source URL for original wording).,medium,fact,none,"Academic-paper-sourced subsystem/component breakdown for Agriculture robot category, closes prior category-level-only coverage."
R097,2026-09-19,US,Inspection / field robot,Oil & gas pipeline operators; water utilities,Crawler-based pipeline/asset inspection,commercial,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,"Approximately 58% of US oil pipeline operators adopted robotic inspection systems during 2025; more than 41% of US water utility companies integrated crawler-based inspection robots into underground pipeline assessment; pipeline intelligent inspection robot market sized at US$1.2B in 2026, projected US$4.26B by 2035 (14% CAGR).",https://www.businessresearchinsights.com/market-reports/pipeline-intelligent-inspection-robot-market-115050,market research report,2026,Paraphrase captured directly in the Raw claim / fact column above (see Source URL for original wording).,medium,fact,No AU-specific pipeline/utility inspection-robot adoption percentage located.,
R098,2026-09-19,Global,Inspection / field robot,Utility/grid operators,Powerline inspection,commercial,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,"Powerline Inspection Robots Market valued at US$659.1M (2025), projected US$760.6M (2026), reaching US$3,185.8M by 2036 (15.4% CAGR); driven by grid modernization and AI-driven asset inspection.",https://www.futuremarketinsights.com/reports/powerline-inspection-robots-market,market research report,2026,Paraphrase captured directly in the Raw claim / fact column above (see Source URL for original wording).,medium,fact,"Global figure, not US/AU split.",
R099,2026-09-19,US,Service robot,Hospitals / healthcare facilities,Delivery robot / non-clinical task automation,commercial,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,"Service robot market estimated at US$72.46B in 2026, projected to exceed US$212B by 2034; healthcare accounts for ~25% of service-robot market share; hospitals deploying delivery robots report 30-50% reduction in supply-delivery time and 15-20% decrease in nursing time on non-clinical tasks.",https://www.idtechex.com/en/research-report/service-robots/1139,market research report,2026,Paraphrase captured directly in the Raw claim / fact column above (see Source URL for original wording).,medium,fact,Global figure not US-only; hospital efficiency stats source not independently verified against a primary hospital study.,
R100,2026-09-19,US,Service robot,Commercial real estate / hospitality operators,Commercial cleaning robot,commercial,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,"US Commercial Cleaning Robots Market reached US$657.2M in 2025, projected to reach US$3,326.6M by 2033 (22.7% CAGR), led by floor-cleaning robots (~50% share); RaaS (Robotics-as-a-Service) represents 60% of the service-robot deployment model vs 40% ownership.",https://www.openpr.com/news/4551399/future-of-u-s-commercial-cleaning-robots-market-2026-market,market research report,2026,Paraphrase captured directly in the Raw claim / fact column above (see Source URL for original wording).,medium,fact,none,
R101,2026-09-19,US,Service robot,Luxury hotel operators,Hospitality/guest-service robot,commercial,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,"Global Hospitality Robot Market reached ~US$0.79B in 2025, projected US$0.98B in 2026 rising to US$7.05B by 2035 (24.5% CAGR); over 45% of luxury hotels have deployed service robots to enhance guest safety/operational efficiency.",https://www.marketresearchfuture.com/reports/hospitality-robot-market-26539,market research report,2025,Paraphrase captured directly in the Raw claim / fact column above (see Source URL for original wording).,low,fact,Global figure and '45% of luxury hotels' stat source methodology not independently verified.,
R102,2026-09-19,US,AMR / warehouse / logistics,3PL / e-commerce fulfillment,Pick-assist / goods-to-person AMR fleet,commercial,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,"Global warehouse robotics market reached US$8.2B in 2025 (45% annual growth); Locus Robotics reported deployments at 350+ sites worldwide (April 2026) and surpassed 4 billion cumulative picks; Amazon operates 750,000+ robots across its global fulfillment network; 6 River Systems (acquired by Shopify 2019, then Ocado 2023) runs the 'Chuck' collaborative-AMR model.",https://standardbots.com/blog/warehouse-robotics-companies,industry publication,2026-04,Paraphrase captured directly in the Raw claim / fact column above (see Source URL for original wording).,medium,fact,Global/US figures blended; no AU-specific AMR-warehouse adoption figure located in this search round.,
R103,2026-09-19,US,Cobot / industrial arm / machine tending,Automotive / metal-machining manufacturers,"Machine tending (die casting, press tending, welding)",commercial,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,"US collaborative-robot market projected at ~US$2B in 2026 (global cobot market US$2.28B in 2026); Machine Tending is the highest-valuation US cobot application segment at US$850.0M; Universal Robots holds ~40% global cobot market share with 100,000+ installed units and introduced UR8 Long/UR15/UR18/UR30 models (2024-2025) targeting heavy machine-tending payload gaps in metal machining, die casting and press tending.",https://robotomated.com/learn/market/cobot-adoption-manufacturing-2026,industry publication,2026,Paraphrase captured directly in the Raw claim / fact column above (see Source URL for original wording).,medium,fact,"This is one of at least two cobot-market-size figures found across Pass 1 + Pass 2 that materially disagree — kept as a separate record per raw-data rule (see Pass-1 gap #9), not merged/averaged.",
R104,2026-09-19,Global,Multiple,unknown,unknown,N/A,unknown,Housing / bracket / enclosure (injection-molded),unknown,Injection molding,unknown,unknown,"China injection-mold tooling costs 40-65% less than US tooling; real total-landed-cost savings after freight/QC/tariffs are 35-50%; China becomes the better fit once annual volume exceeds ~1,000 pieces and the mold is complex.","Section 301 tariffs on Chinese-manufactured plastic goods range 25-50% depending on classification (as of this pass), eroding part of the raw per-part cost advantage; US delivers in 6-8 weeks vs China's 10-14 weeks.","US 2026 injection-molding tooling runs US$15,000-120,000 with parts at US$0.35-6.00 (assuming 4-cavity hardened-steel mold, 25-35s cycle, robotic pick/place, US Gulf resin pricing); China tooling costs 40-65% less nominally, 35-50% less on true landed cost after including Section 301 tariffs (25-50% on Chinese plastic goods), freight, inventory carry and quality-escalation costs.",https://www.jaycon.com/2026-injection-molding-pricing-report-us-costs-reshoring-tooling-data/,industry publication / pricing report,2026,Paraphrase captured directly in the Raw claim / fact column above (see Source URL for original wording).,medium,fact,No AU-specific injection-molding cost/tariff data located.,"Directly extends Pass-1 manufacturing-processes.csv, which only had CNC cost data (R052/R053), not injection molding."
R105,2026-09-19,unknown,Multiple,unknown,unknown,N/A,unknown,Housing / joint / structural bracket (die-cast),unknown,"Die casting (aluminum, zinc)",unknown,"China (Guangdong, Zhejiang, Jiangsu foundry clusters)","Dense China foundry clusters (Guangdong, Zhejiang, Jiangsu) bundle die casting with toolmaking, heat treatment, surface finishing and metallurgy labs in one regional supply ecosystem; named die-casters produce robot joint housings, arm components, motor housings and structural support parts, ready for assembly with in-house CNC/drilling/tapping/finishing; ISO 9001/IATF 16949/ISO 14001 certification is now standard among top-tier Chinese aluminum die-casters; most Chinese die-cast output is exported to the US, Canada, Germany, France, Italy and other markets.",unknown,"China aluminum die-casting for robotics parts (joint housings, arm components, motor housings, covers, structural supports) is concentrated in Guangdong/Zhejiang/Jiangsu foundry clusters that bundle casting with toolmaking, heat treatment and finishing under one roof; automation and AI-driven process monitoring are increasingly used to raise yield.",https://casting-yz.com/robot-parts/,company official site / industry publication,unknown,Paraphrase captured directly in the Raw claim / fact column above (see Source URL for original wording).,low,supplier-claimed,No US/AU die-casting capacity-for-robotics-parts signal located in this pass — a specific gap.,
R106,2026-09-19,unknown,Multiple,unknown,unknown,N/A,Motion / actuator,Motor winding / magnet wire (enameled copper wire),Copper (enameled magnet wire),Motor winding,unknown,"China (multiple named manufacturers: JOGO Group, Windoo, Shenzhou/CCA Wire, Jiangsu Yuheng, Hengte Electric)","China's EV-stator manufacturing clusters are reported to 'outpace Germany's industrial motor rebuild sector in magnet-wire procurement velocity'; multiple dedicated Chinese magnet-wire manufacturers (JOGO Group, Windoo, Shenzhou/CCA, Jiangsu Yuheng, Hengte) supply enameled copper/aluminum winding wire at bulk/overseas pricing; ultra-fine magnet wire with precise tolerances is specifically called out as required for smaller motors in drones, robotics and medical devices.",unknown,"The global Copper Magnet Wire Market was sized at US$34.8B in 2026, projected to reach US$67.28B by 2035 (7.60% CAGR); China motor-winding-wire suppliers are commonly sourced in bulk by overseas motor/robotics manufacturers for lower production cost and scalable supply.",https://markwideresearch.com/copper-magnet-wire-market,market research report,2026,Paraphrase captured directly in the Raw claim / fact column above (see Source URL for original wording).,low,fact,No US-domestic magnet-wire manufacturing-capacity figure located for direct comparison in this pass.,
R107,2026-09-19,unknown,Multiple,unknown,unknown,N/A,Compute / controller,PCB (fabrication) / SMT assembly (control board),unknown,"PCB fabrication, SMT assembly",unknown,"China (dominant); US (Calumet Electronics, Michigan — reshoring effort)","China's dominance in robot-PCB manufacturing is attributed to large-scale investment in electronics-manufacturing infrastructure, skilled engineering talent, mature component/raw-material supply chains, and continuous technology adoption, making advanced capability available at competitive prices.","US 'Onshoring Advanced Packaging and Assembly' workshop (2024, DoD-adjacent) flags that 100% onshoring of PCB manufacturing is not achievable near-term; 'nearshoring' (diversifying assembly location, not full onshoring) is described as the realistic near-term goal; Calumet Electronics is investing in a 200,000 sq ft PCB manufacturing upgrade in Michigan as a named US reshoring data point.","Industrial robotics/automation rely on SMT (surface-mount technology) assembly for control modules, sensors and power devices; China's PCB/SMT dominance for robotics is attributed to infrastructure investment, skilled labor and mature component supply chains; the US pursues 'nearshoring' rather than full onshoring as the realistic near-term policy goal, with Calumet Electronics (Michigan) cited as a concrete US capacity-expansion example.",https://iconnect007.com/article/141280/material-insight-diversifying-pcb-manufacturing-through-nearshoring/141277/smt,industry publication,unknown,Paraphrase captured directly in the Raw claim / fact column above (see Source URL for original wording).,medium,fact,No AU PCB/SMT manufacturing-capacity signal located.,
R108,2026-09-19,US,Multiple,unknown,unknown,N/A,Motion / actuator,Electrical steel lamination (motor stator/rotor core),Electrical (silicon) steel,Stamping / lamination,unknown,unknown,unknown,"Electrical steel prices have risen 60-80% since 2020 due to supply-chain disruption and energy-cost inflation; global scrap-steel export restrictions from major suppliers including China and Russia further pressure input costs; the US Advanced Manufacturing Production Credit provides direct subsidies for domestic electrical-steel lamination production, intended to favor domestic suppliers over imports as part of a broader reshoring push.","Electrical Steel Lamination Market valued at US$29.4B in 2026, projected to expand to US$57.8B by 2035; electrical steel prices up 60-80% since 2020; US federal Advanced Manufacturing Production Credit subsidizes domestic lamination production as an onshoring incentive; transformer-OEM supply-chain risk planning is dominated by US-China tariff exposure, with production concentrated in China, Japan and Germany.",https://markwideresearch.com/electrical-steel-lamination-market,market research report,2026,Paraphrase captured directly in the Raw claim / fact column above (see Source URL for original wording).,low,fact,No AU electrical-steel capacity/import-dependency figure located.,
R109,2026-09-19,unknown,Multiple,unknown,unknown,N/A,Mechanical structure / End-effector,"Gears, hinges, casings, joint components (engineering plastic)",PEEK; Nylon/Polyamide (PA); ABS; Polycarbonate (PC),3D printing (FDM/SLS) and injection molding,unknown,unknown,unknown,unknown,"PEEK is used in robot joint gears, sensor housings and motor insulation parts for its high-temperature resistance, mechanical strength and chemical stability; Nylon/PA is used across robotics, aerospace and medical-prosthetic parts requiring durability across temperature/load ranges; ABS and PC are named as common 3D-printing engineering-plastic feedstocks for functional robot parts (gears, hinges, casings).",https://jlc3dp.com/help/article/peek-plastic,company official site / industry publication,unknown,Paraphrase captured directly in the Raw claim / fact column above (see Source URL for original wording).,medium,fact,No quantitative share of robot BOMs made of PEEK vs Nylon vs ABS/PC located — closes part of Pass-1 gap #8 (3D-printing material identification) qualitatively but not quantitatively.,
R110,2026-09-19,unknown,Multiple,unknown,unknown,N/A,Motion / actuator,Motor magnets (NdFeB rare-earth permanent magnet),Neodymium-iron-boron (NdFeB),unknown,unknown,unknown,Most rare-earth magnets sold in the US are made in China; China holds the world's largest rare-earth mineral reserves and outproduces the second-largest producer (the US) by more than 5:1.,"A 25% additional Section 301 duty on Chinese-origin permanent magnets took effect January 1, 2026 — the first time rare-earth magnets were included in a Section 301 action since the 2018 US-China trade war began; magnet prices for US importers/resellers are projected ~55% higher in 2026 vs 2024 as a direct result.","US Section 301 tariff review (finalized Sept 18, 2024 Federal Register notice) added a 25% duty on Chinese permanent magnets effective Jan 1, 2026; resulting US magnet prices are projected ~55% higher in 2026 than 2024; China's reserve/output advantage (5x+ US production) underlies the dependency.",https://www.duramag.com/techtalk/magnet-news/understanding-the-2026-section-301-tariffs-on-permanent-magnets-what-the-market-needs-to-know/,industry publication / company site,2026,Paraphrase captured directly in the Raw claim / fact column above (see Source URL for original wording).,high,fact,No AU-specific magnet-tariff/import-dependency data located.,Directly extends Pass-1's R047 (DoD funding E-VAC Magnetics) with the concrete 2026 tariff mechanism and price-impact figure.
R111,2026-09-19,unknown,Startup-built custom robot systems,2-15 person hardware-robotics startup team,CAD-to-prototype-to-BOM workflow,N/A,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,"Typical hardware-startup prototyping workflow: define acceptance criteria/critical dimensions before build -> CAD in Onshape/SolidWorks/Fusion -> export clean STEP (machining) or STL (additive) files for quoting -> maintain a synced Bill of Materials (BOM) with part numbers/manufacturers/specs (manual BOM re-entry per revision flagged as a common build-error source) -> use modular/off-the-shelf components (microcontrollers, sensor modules, motor controllers) where possible to reduce custom-part scope -> use cable-assembly vendors rather than build wiring in-house.",https://additive3dasia.com/news/example-rapid-prototyping-workflow-hardware-startups/,industry publication,unknown,Paraphrase captured directly in the Raw claim / fact column above (see Source URL for original wording).,medium,fact,"Still no source-quantified breakdown for the specific 2-10 person startup tooling budget/scale (Pass-1 gap #7); this closes the workflow-sequence gap, not the cost/scale gap.",
R112,2026-09-19,unknown,Startup-built custom robot systems,Solo founder / very small team,Hardware-startup team composition risk,N/A,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,"A solo founder building a robotics hardware company is described by investors as a 'red flag' because of the breadth of required expertise spanning mechanical, electrical, software, ML and domain knowledge; a minimum viable robotics build team is typically described as needing at least one mechanical/electrical engineer able to design a custom PCB, select actuators and build a prototype using 3D printing and CNC.",https://www.roboticscenter.ai/learn/how-to-start-robotics-company,industry publication,unknown,Paraphrase captured directly in the Raw claim / fact column above (see Source URL for original wording).,low,inference,"Qualitative investor-perception claim, not a quantified survey of team-size distribution.",
