fact_id,component,material,china_advantage_signal,us_au_friction_signal,raw_claim_fact,confidence,fact_hypothesis_inference,missing_unknown,source_url
R070,Robot arm (full assembly),"PLA/PETG (structural), hobby servos (actuation)",unknown,unknown,"The 'Pedro' open-source project is a fully open-source 3D-printable educational robot arm with 6 rotational joints and a parallel-jaw gripper, using 7x Feetech STS3215 serial-bus servos, with a stated build cost of approximately US$220.",medium,fact,none,https://orobot.io/robots/arm
R092,Bearing (crossed-roller / thin-section),Steel (bearing steel),"China's robotic-bearing supply is geographically clustered: Luoyang (Henan) is a historic precision-bearing hub (Luoyang E-Find, Luoyang Precision Bearing); Guangdong's Pearl River Delta (Shenzhen/Dongguan/Guangzhou) combines export logistics with tech-integrated manufacturing; crossed-roller and constant-section thin-wall bearings for robot joints/slewing rings are the dominant robotics bearing types made in these clusters.",unknown,"China's robotic-bearing manufacturing is concentrated in named regional clusters (Henan/Luoyang, Guangdong Pearl River Delta, Shandong, Hunan, Anhui); crossed-roller bearings and constant-section thin-wall bearings are the primary bearing types used in robot joints, slewing units and precision rotary tables; Chinese suppliers are described as 'increasingly competing on technology, quality and reliability rather than just price' though quality/delivery inconsistency is also flagged.",low,supplier-claimed,"No US or AU domestic robot-grade precision-bearing manufacturer identified in this pass (a specific US/AU capacity gap, not yet confirmed as fully absent).",https://www.cwlbearing.com/blog/best-robot-bearing-suppliers-china-global-buyers/
R106,Motor winding / magnet wire (enameled copper wire),Copper (enameled magnet wire),"China's EV-stator manufacturing clusters are reported to 'outpace Germany's industrial motor rebuild sector in magnet-wire procurement velocity'; multiple dedicated Chinese magnet-wire manufacturers (JOGO Group, Windoo, Shenzhou/CCA, Jiangsu Yuheng, Hengte) supply enameled copper/aluminum winding wire at bulk/overseas pricing; ultra-fine magnet wire with precise tolerances is specifically called out as required for smaller motors in drones, robotics and medical devices.",unknown,"The global Copper Magnet Wire Market was sized at US$34.8B in 2026, projected to reach US$67.28B by 2035 (7.60% CAGR); China motor-winding-wire suppliers are commonly sourced in bulk by overseas motor/robotics manufacturers for lower production cost and scalable supply.",low,fact,No US-domestic magnet-wire manufacturing-capacity figure located for direct comparison in this pass.,https://markwideresearch.com/copper-magnet-wire-market
R108,Electrical steel lamination (motor stator/rotor core),Electrical (silicon) steel,unknown,"Electrical steel prices have risen 60-80% since 2020 due to supply-chain disruption and energy-cost inflation; global scrap-steel export restrictions from major suppliers including China and Russia further pressure input costs; the US Advanced Manufacturing Production Credit provides direct subsidies for domestic electrical-steel lamination production, intended to favor domestic suppliers over imports as part of a broader reshoring push.","Electrical Steel Lamination Market valued at US$29.4B in 2026, projected to expand to US$57.8B by 2035; electrical steel prices up 60-80% since 2020; US federal Advanced Manufacturing Production Credit subsidizes domestic lamination production as an onshoring incentive; transformer-OEM supply-chain risk planning is dominated by US-China tariff exposure, with production concentrated in China, Japan and Germany.",low,fact,No AU electrical-steel capacity/import-dependency figure located.,https://markwideresearch.com/electrical-steel-lamination-market
R109,"Gears, hinges, casings, joint components (engineering plastic)",PEEK; Nylon/Polyamide (PA); ABS; Polycarbonate (PC),unknown,unknown,"PEEK is used in robot joint gears, sensor housings and motor insulation parts for its high-temperature resistance, mechanical strength and chemical stability; Nylon/PA is used across robotics, aerospace and medical-prosthetic parts requiring durability across temperature/load ranges; ABS and PC are named as common 3D-printing engineering-plastic feedstocks for functional robot parts (gears, hinges, casings).",medium,fact,No quantitative share of robot BOMs made of PEEK vs Nylon vs ABS/PC located — closes part of Pass-1 gap #8 (3D-printing material identification) qualitatively but not quantitatively.,https://jlc3dp.com/help/article/peek-plastic
R110,Motor magnets (NdFeB rare-earth permanent magnet),Neodymium-iron-boron (NdFeB),Most rare-earth magnets sold in the US are made in China; China holds the world's largest rare-earth mineral reserves and outproduces the second-largest producer (the US) by more than 5:1.,"A 25% additional Section 301 duty on Chinese-origin permanent magnets took effect January 1, 2026 — the first time rare-earth magnets were included in a Section 301 action since the 2018 US-China trade war began; magnet prices for US importers/resellers are projected ~55% higher in 2026 vs 2024 as a direct result.","US Section 301 tariff review (finalized Sept 18, 2024 Federal Register notice) added a 25% duty on Chinese permanent magnets effective Jan 1, 2026; resulting US magnet prices are projected ~55% higher in 2026 than 2024; China's reserve/output advantage (5x+ US production) underlies the dependency.",high,fact,No AU-specific magnet-tariff/import-dependency data located.,https://www.duramag.com/techtalk/magnet-news/understanding-the-2026-section-301-tariffs-on-permanent-magnets-what-the-market-needs-to-know/
R115,Battery pack (Li-ion cell + BMS),Lithium-ion (cylindrical/pouch cell chemistries),"BYD holds a market share exceeding 35% in warehouse-logistics AGV and airport-ground-handling-robot batteries specifically; roughly 60-70% of warehouse-robot batteries consumed in the US are sourced from Asian manufacturers, primarily China, South Korea and Japan.","As of 2026 the effective US tariff rate on many Chinese battery imports is 7.5-25% depending on product classification, reshaping robot-battery procurement decisions; LG Energy Solution signed an exclusive cylindrical-battery supply agreement with Bear Robotics (service/logistics robots) and Panasonic Energy signed a multi-year 2170-cell supply agreement with Zoox, showing non-China supply is being actively contracted for by some US robotics buyers.",BYD holds >35% share of warehouse-AGV/airport-ground-handling-robot batteries; ~60-70% of US warehouse-robot batteries are Asian-sourced (mostly China/Korea/Japan); Li-ion packs are ~80-90% of new robot battery installations by value as of 2026; US tariff on Chinese battery imports is 7.5-25% depending on classification.,medium,fact,No AU-specific robot-battery sourcing-share figure located.,https://manlybattery.com/top-robot-battery-manufacturers-in-2026-for-industrial-and-service-robots/
R131,"Frame / gears / end effectors / motor components (steel, stainless steel)",Carbon steel; stainless steel; engineering/alloy steel,unknown,unknown,"Stainless steel is confirmed (qualitatively) as widely used in robotics frames, gears, end-effectors and motor components for strength/toughness/corrosion-and-temperature resistance; for industrial robotics, aluminum/iron/carbon steel are used for body parts while engineering/alloy/high-alloy rolled steel (including stainless) is used for drive-system components; no source in this pass provided a quantified BOM-percentage breakdown.",low,inference,"Confirms Pass-1 gap #4 remains open: still no source-quantified steel/stainless-steel BOM-share figure found across two full research passes -- logged again explicitly as a persistent, real gap rather than silently dropped.",https://www.protolabs.com/en-gb/resources/blog/materials-that-command-the-robotics-industry/
R156,3D-printer filament (PLA/ABS/PETG/TPU),PLA; ABS; PETG; TPU,"China dominates global 3D-printer-filament production; Guangdong is the primary manufacturing cluster (named suppliers: Shenzhen Qi Pang Technology, Zhuhai Sunlu Industrial) benefiting from mature electronics supply chains and port access, while Zhejiang supplies chemical-material infrastructure; Polymaker (Suzhou-headquartered, global distribution) is a named China-based filament maker with international R&D centers; claimed cost advantage is 30-50% lower than Western filament producers via economies of scale.",unknown,China 3D-printer-filament suppliers offer 1.75mm/2.85mm diameter options across PLA/ABS/PETG/TPU with +/-0.02mm precision tolerance and flexible MOQs; several named suppliers report 100% on-time delivery rates in the source (self-reported).,low,supplier-claimed,No US-based filament manufacturer's market share identified for direct comparison.,https://jingsourcing.com/p/wholesale-3d-printing-filament/
R165,"Rare-earth elements (mining + processing, upstream of NdFeB magnets)","Rare-earth oxides/metals (incl. neodymium, dysprosium, terbium, yttrium, holmium, erbium, thulium, europium, ytterbium)","China controls ~90% of global rare-earth processing capacity (vs. a much less concentrated share of raw ore reserves) plus dominant shares of tungsten (80%) and antimony (60%); this processing dominance -- built over three decades of separating/refining/converting capacity -- makes China's rare-earth leverage structural and processing-based rather than simply resource-based, and falls almost entirely on the importing side.","China's first major 2025 rare-earth export-control wave (April 2025) placed 7 heavy rare-earth elements plus compounds/metals/magnets under mandatory licensing with end-use disclosure requirements; a second wave (extending to holmium, erbium, thulium, europium, ytterbium plus a sweeping foreign-direct-product rule requiring Chinese government approval for any product anywhere containing >=0.1% Chinese-origin rare earths or made using Chinese processing technology) was suspended for one year effective November 2026, but the original April 2025 controls remain fully operational; measured impact: yttrium shipments to the US fell to ~42% of pre-restriction volumes, dysprosium to ~41%, terbium to ~49%.","China's rare-earth export-control architecture in 2025-2026 operates through multiple mechanisms simultaneously: element-specific licensing, end-use disclosure, and (temporarily suspended) an extraterritorial foreign-direct-product rule -- with measured 40-50% shipment-volume drops to the US for several critical elements during the restriction period.",high,fact,"No AU-specific rare-earth shipment-volume impact figure located (AU is itself a rare-earth miner via Lynas, but this pass did not locate AU import-dependency data for processed rare-earth magnet inputs specifically).",https://www.csis.org/analysis/rare-earth-export-restrictions-one-year-later
