pr21_page_id,pr21_current_path,pr21_build_status,page_type,primary_entity,secondary_entities,proposed_canonical_path,decision,required_migration_note
OBJ13A,/robot-parts/battery-enclosure-machining/,validate_first (owner-flagged: narrow framing not directly search-tested),part,Part:battery-enclosure-machining,Application:amr-mobile-robot-parts,/parts/battery-enclosure-machining/ (reserved; not registered),defer,"Entity kept in the graph. PageRegistry record withheld until the 'mechanical housing only' framing gets a dedicated search-evidence pass, per PR21's explicit recommendation. Must carry the 'mechanical housing only, not cell/BMS' disclaimer above the fold whenever it is built, to avoid the full-battery-pack-vertical confusion PR21 documented."
OBJ13B,/robot-parts/electronics-enclosure-machining/,validated,part,Part:electronics-enclosure-machining,ProcessCapability:sheet-metal-fabrication-welding,/parts/electronics-enclosure-machining/,keep,"Direct 1:1 rename. Kept clearly separated from OBJ13A per PR21's disambiguation instruction, now enforced structurally as two distinct Part entities rather than adjacent CSV rows."
OBJ14,/robot-parts/robot-chassis-fabrication/,"validate_first (elevated from validated by the fix pass; 3/5 deepened framings showed contamination)",part,Part:robot-chassis-fabrication,Application:amr-mobile-robot-parts,/parts/robot-chassis-fabrication/ (reserved; not registered),defer,"Entity kept in the graph with its Application relation intact. PageRegistry record withheld -- this is PR21's single most fragile P0/P1 object (automotive/hot-rod and welding-robot-seller contamination confirmed twice). Do not build content investment here until a further validation pass, per PR21's own downgrade rationale, which is preserved verbatim on this Part's Evidence."
OBJ16,/robot-parts/sensor-camera-lidar-mount/,validated,part,Part:sensor-camera-lidar-mount,"ProcessCapability:5-axis-machining; Material:7075-t6-aluminum",/parts/sensor-camera-lidar-mount/,keep,"Direct 1:1 rename. The prior LiDAR-only-page merge decision (PR21 cannibalization-map row 1) is preserved: no separate LiDAR Part is created; 'LiDAR' stays an alias on this Part's aliases[] field, not a second entity."
OBJ18,/robot-parts/rov-pressure-housing/,validated,part,Part:rov-pressure-housing,Application:underwater-rov-robot-parts,/parts/rov-pressure-housing/,keep,"Direct 1:1 rename. One of the three worked-examples anchor entities is not this one, but its Application relation to underwater-rov-robot-parts is the same pattern proven for Humanoid -- see worked-examples.md's closing note on generalization."
OBJ19,/robot-parts/robot-cell-jig-fixture/,validate_first (not robotics-specific at head-term level),part,Part:robot-cell-jig-fixture,Application:eoat-automation-tooling,/parts/robot-cell-jig-fixture/ (reserved; not registered),defer,"Entity kept in the graph. PageRegistry record withheld until scoping (robot-cell-specific, not the much larger generic jig/fixture market) is validated, per PR21's own scoping caution."
OBJ20,/robot-parts/prototype-multi-part-assembly/,validate_first (weak standalone search phrase),n/a (folds into a capability page section),EngineeringProblem:multi-part-prototype-kitting,ProcessCapability:prototype-to-production-machining,none -- surfaces only as a section on /capabilities/prototype-to-production-machining/,merge,"No standalone Part/PageRegistry record. Per PR21's own cannibalization-map decision ('keep OBJ20 as a child of PRB_A, scoped narrowly to the BOM/kitting workflow... cross-link heavily rather than duplicate'), this becomes an EngineeringProblem entity referenced from the prototype-to-production ProcessCapability page as a ContentBlock, not a page of its own."
APP01,/robot-parts/applications/humanoid-robot-parts/,"validated (children independently confirmed)",application,Application:humanoid-robots,"Part:robot-joint-housing; Part:robot-actuator-housing; Part:robot-shaft; Part:robot-bearing-housing; Domain:robotics",/applications/humanoid-robots/,keep,"Direct 1:1 rename under /applications/. Full worked example in worked-examples.md #2 -- this page never copies its child Parts' technical content, only aggregates references to it (acceptance test 2)."
APP02,/robot-parts/applications/cobot-custom-parts/,defer (owner-flagged experimental/UNKNOWN),n/a (folds into APP04 as a section),none,"Part:robot-mounting-bracket; Part:eoat-tooling-plate",none -- surfaces only as a section on /applications/industrial-robot-parts/,merge,"No standalone Application/PageRegistry record, per the owner's explicit defer instruction and PR21's own 'launch as a section within APP04' recommendation. The deepened-pass finding (real but narrow cobot-mounting/tooling signal, covered by OBJ07/OBJ09) is preserved as a note on those two Parts' SearchIntentClusters rather than lost."
APP03,/robot-parts/applications/amr-mobile-robot-parts/,validate_first (chassis-led hub inherits OBJ14's exceptions),application,Application:amr-mobile-robot-parts,"Part:robot-chassis-fabrication; Part:robot-enclosure-shell; Part:battery-enclosure-machining; Part:electronics-enclosure-machining; Domain:robotics",/applications/amr-mobile-robot-parts/ (reserved; not registered),defer,"Entity kept in the graph, relations to OBJ14/12/13A/13B intact. PageRegistry record withheld pending OBJ14's own validation (this hub is chassis-led, so it inherits that fragility) per PR21's downgrade rationale."
APP04,/robot-parts/applications/industrial-robot-parts/,"validated (architectural hub; 5/7 children confirmed)",application,Application:industrial-robot-parts,"Part:robot-joint-housing; Part:robot-actuator-housing; Part:robot-shaft; Part:robot-bearing-housing; Part:robot-motor-mount; Part:robot-mounting-bracket; Part:robot-arm-structural-links; Domain:robotics",/applications/industrial-robot-parts/,keep,"Direct 1:1 rename. Hosts the APP02 and (see below) APP05 merged sections. Not expected to rank on its own broad head term (giant-platform-dominated per PR21's Q040) -- its acquisition value is its child Parts' own pages, exactly as PR21 concluded."
APP05,/robot-parts/applications/inspection-robot-parts/,defer (owner-flagged experimental/UNKNOWN),n/a (folds into APP04 as a section),none,none,none -- surfaces only as a section on /applications/industrial-robot-parts/,merge,"No standalone Application/PageRegistry record, per the owner's explicit defer instruction and PR21's own note that it is 'likely better served as a use-case section within APP04 or OBJ16.' This mapping chooses APP04 as the merge target for a single consistent decision; OBJ16 remains a valid alternative if future evidence favors it."
APP06,/robot-parts/applications/underwater-rov-robot-parts/,validated (hub built on OBJ18),application,Application:underwater-rov-robot-parts,"Part:rov-pressure-housing; Domain:robotics",/applications/underwater-rov-robot-parts/,keep,"Direct 1:1 rename."
APP07,/robot-parts/applications/exoskeleton-parts/,validate_first (vendor-concentrated evidence),application,Application:exoskeleton-parts,"related_applications: Application:humanoid-robots; Domain:robotics",/applications/exoskeleton-parts/ (reserved; not registered),defer,"Entity kept in the graph. PageRegistry record withheld pending a less vendor-concentrated evidence base, per PR21's own caution (one competitor held 3 of 9 original results)."
APP08,/robot-parts/applications/eoat-automation-tooling/,validate_first (risk of duplicating OBJ09),application,Application:eoat-automation-tooling,"Part:gripper-fingers-jaws; Part:eoat-tooling-plate; Part:robot-cell-jig-fixture; Domain:robotics",/applications/eoat-automation-tooling/ (reserved; not registered),defer,"Entity kept in the graph. PageRegistry record withheld until it can be shown to sustain genuinely distinct cell/system-level content beyond OBJ09's part-level page, per PR21's own conditional-merge-into-OBJ09 fallback."
APP09,/robot-parts/applications/startup-rd-robot-parts/,"validate_first (persona framing, indirect evidence)",application,Application:startup-rd-robot-parts,ProcessCapability:prototype-to-production-machining,/applications/startup-rd-robot-parts/ (reserved; not registered),defer,"Entity kept in the graph. PageRegistry record withheld -- PR21 itself frames this as messaging/persona-focused rather than a new technical object, high overlap with PRB_A; validate before investing distinct content."
PRB_A,/robot-parts/capabilities/prototype-to-production-machining/,"validated (strong original + merged-query evidence)",capability,ProcessCapability:prototype-to-production-machining,"EngineeringProblem:multi-part-prototype-kitting (OBJ20); Application:startup-rd-robot-parts (APP09)",/capabilities/prototype-to-production-machining/,keep,"Direct 1:1 rename under /capabilities/. Absorbs OBJ20 as a ContentBlock section per that row's merge decision above. PR21's own merge of two near-identical source queries (Q037+Q047) into one page is preserved as a single SearchIntentCluster."
PRB_B,/robot-parts/capabilities/5-axis-machining-robot-parts/,validate_first (generic content dominates; needs robot-specific substance),capability,ProcessCapability:5-axis-machining,"Part:robot-joint-housing; Part:robot-actuator-housing; Part:robot-mounting-bracket",/capabilities/5-axis-machining/,defer (used as a worked example regardless of publish decision),"Entity and its Part relations are fully authored now -- this is the anchor entity for worked-examples.md #3, proving the capability-aggregation pattern (acceptance test 3) works whether or not the page is ultimately approved for publication. Its PageRegistry record is NOT approved to publish in this pass; buildStatus stays not_registered/planned per PR21's own validate_first caution that the page must supply its own robot-specific substance rather than relying on a thin/generic SERP."
PRB_C,/robot-parts/capabilities/tight-tolerance-robot-machining/,validate_first (generic content dominates; needs robot-specific substance),capability,ProcessCapability:tight-tolerance-machining,"EngineeringProblem:bearing-bore-concentricity; Part:robot-joint-housing; Part:robot-bearing-housing",/capabilities/tight-tolerance-machining/ (reserved; not registered),defer,"Entity kept in the graph with its EngineeringProblem/Part relations. PageRegistry record withheld until the page can supply its own robot-specific technical substance, per PR21's own caution (same as PRB_B)."
PRB_D,/robot-parts/capabilities/sheet-metal-fabrication-welding/,validated (strong original cross-object evidence),capability,ProcessCapability:sheet-metal-fabrication-welding,"Part:robot-base-pedestal; Part:robot-enclosure-shell; Part:robot-chassis-fabrication",/capabilities/sheet-metal-fabrication-welding/,keep,"Direct 1:1 rename under /capabilities/. PR21's cross-object evidence (same specialist competitor set for base/pedestal and enclosure searches) is exactly what justifies this as a shared ProcessCapability entity rather than duplicated content on OBJ10/OBJ12. Also carries the 'welding' + 'robot' query-hygiene note shared with OBJ10/OBJ14."
PRB_E,/robot-parts/guides/how-to-source-china-cnc-manufacturer/,"validated (strong evidence for the informational angle)",how_it_works,none,none,/how-it-works/sourcing-a-china-cnc-manufacturer/,keep,"Moves from a /robot-parts/guides/ sub-path to the stable /how-it-works/ namespace. PR21's explicit scope discipline (informational angle only, never the broad giant-platform-dominated commercial RFQ phrase) carries forward as this page's SearchIntentCluster scope note."
