intent_id,manufacturing_sub,canonical_intent,included_queries,buyer_problem,RFQ_object,commercial_strength,technical_depth,SERP_fragmentation,page_separation_reason,cannibalization_risk,US_signal,AU_signal,evidence_urls,confidence
INT-09,EOAT tooling plate & parts,"Custom-machined EOAT components: tooling plates, tool-changer plates, vacuum manifolds, robot flanges",Q020;Q021,"Needs machined structural/interface parts (tooling plates, adapter flanges) to build a custom end-of-arm-tool assembly",EOAT tooling plate / adapter flange / vacuum manifold body,strong,"high (tool-changer interface standards, vacuum-manifold porting, datum-controlled locating features)","high - one of the cleanest, most specialist-only results in the whole pass (EOAT Machining, EMI Corp, CRG, Millibar, ASS EOAT, Piab)",Clearly distinct RFQ object family from gripper fingers (structural/interface hardware vs. the gripping surface itself),Low with gripper page; parent-child with APP08 (automation tooling hub),"Strong confirmed - large, fragmented, purely specialist B2B cluster, no giant platform, no hobby contamination","UNKNOWN - AU-specific query ('...Australia') surfaced integrators/hobby retail, not specialist manufacturers; WebSearch tool is US-localized, so absence of AU-specific results is not proof of absence of AU demand",https://eoatmachining.com/products ; https://www.emicorp.com/eoat-components,high
INT-10,base/pedestal,Custom fabrication (CNC + welding) of robot bases and pedestals,Q022;Q023,Needs a rigid welded-steel or machined-aluminum base/pedestal to mount an industrial robot arm at a specific height/footprint,Robot base / pedestal,strong,"high (rigidity/vibration analysis, weldment + machining combination, mounting-pattern compatibility across robot brands)","high - fragmented among fabrication specialists, one legitimate scaled competitor (Vention) with a modular-hardware platform",Distinct RFQ object requiring a different process mix (welding+machining) than pure-machining objects,Low; shares the sheet-metal/welding problem page (PRB_D) as a process cross-link,"Strong confirmed - Vention, Parco, PGI Steel, Anchor Danly, DRAmetal, usa-robotics all have dedicated pages","UNKNOWN - AU-specific query ('...Australia') surfaced integrators/hobby retail, not specialist manufacturers; WebSearch tool is US-localized, so absence of AU-specific results is not proof of absence of AU demand",https://vention.io/robot-pedestal ; https://parco-inc.com/custom-aluminum-robot-bases-pedestals/,high
INT-11,structural/arm link parts,"Custom CNC machining of robot arm structural links (forearm, upper-arm, shoulder-bracket sections)",Q024;Q025,Needs a structural link/section of a robot arm (or replacement part for an existing arm) machined to spec,Robot arm structural link,moderate,"moderate (bearing-bore/joint-mount tolerances, CMM reporting mentioned, but content usually bundled not standalone)",moderate - almost every generalist robotics-CNC job shop bundles this as one line item on a broad page rather than a standalone specialty; RivCut is the one exception with dedicated (city-programmatic) link pages,Real distinct object but weak standalone competitor differentiation; RivCut's own approach (many near-identical city pages for the same object) is flagged as a permutation-SEO pattern to avoid copying,"Medium-high with the broader industrial-robot-parts application hub (APP04) and with bracket (INT-07) - keep as a lower-priority, lighter 'hub-style' object page that links out to joint/bracket/shaft pages for deep technical content rather than duplicating it",Confirmed but generic - bundled across many generalist CNC shop pages,UNKNOWN,https://www.fictiv.com/articles/robotic-arm-components-manufacturing ; https://www.rivcut.com/cnc-machining/chicago/robotics/robot-arm-links/,low-medium
INT-12,enclosure/shell,"Custom fabrication of robot outer enclosures/shells (sheet-metal, thermoformed or rotomolded plastic)",Q026;Q027,Needs an outer cosmetic/protective shell or IP-rated sheet-metal enclosure fabricated for a robot body,Robot enclosure/shell,moderate-strong,"high for the sheet-metal framing (IP rating, PEM fasteners, weld specs); more commodity/catalog-like for plastic-shell framing",mixed - sheet-metal framing (Q027) is specialist-fragmented; bare object+manufacturer framing (Q026) has ONE direct Alibaba listing ranking organically,"Distinct RFQ object from internal structural parts (chassis/links) - this is the external, often cosmetic-facing shell","Low-medium with chassis (INT-14) and battery/electronics enclosure (INT-13a/b) - keep scoped to the EXTERNAL cosmetic/protective shell, not internal component housings",Confirmed but with a giant-platform edge case - Alibaba ranks directly for the bare object+manufacturer phrasing; recommend targeting the process-qualified phrasing (sheet metal robot enclosure fabrication) instead,"UNKNOWN - AU-specific query ('...Australia') surfaced integrators/hobby retail, not specialist manufacturers; WebSearch tool is US-localized, so absence of AU-specific results is not proof of absence of AU demand",https://www.approvedsheetmetal.com/industries-we-serve/sheet-metal-for-robotics ; https://www.alibaba.com/product-detail/Custom-large-robot-shell-manufacturer-Vacuum_1600423482002.html,medium
INT-13A,battery enclosure (mechanical scope),Custom CNC/sheet-metal machining of a battery enclosure shell ONLY (mechanical housing for a battery pack the customer designs/sources electrically elsewhere),Q028(reframed),"Needs the mechanical housing for a battery pack machined/fabricated - NOT the cells, BMS, or electrical integration",Battery enclosure (mechanical shell),weak evidence for this exact narrow framing (not directly search-tested),"moderate (IP rating, vibration resistance, thermal venting) - inferred from adjacent electronics-enclosure evidence (Q029), not directly confirmed for the battery-only framing","UNKNOWN for this exact narrow framing - the literal query tested (Q028) returned full battery-PACK OEMs, not mechanical-only housing shops","Must be kept SEPARATE from and clearly NOT confused with full battery-pack manufacturing (see INT-EXC-03) - a distinct, narrower RFQ scope","HIGH risk of buyer confusion with full battery-pack OEMs unless page copy explicitly states 'mechanical housing only, not cell/BMS integration'",Not directly confirmed as a distinct search phrase - built by inference from Q029's electronics-enclosure evidence applied to the battery use case,UNKNOWN,https://www.protocase.com/products/electronic-enclosures/machined-enclosures/,"low - labeled explicitly as UNKNOWN/inferred, recommend validating with a dedicated search pass before publishing"
INT-EXC-03,battery enclosure (full pack),[EXCLUDED - different supplier vertical] Full battery PACK manufacturing (cell selection + BMS + enclosure) for AMR/robotics,Q028,"Wants a complete electrical battery pack, not just a machined mechanical shell",n/a - out of scope for a CAD/drawing-based mechanical RFQ router,strong (but wrong vertical),n/a,"moderate - Bonnen, Apex Mobile Power, HYXin, KRL, LARGE, PKNERGY all serve this",Confirms why 'battery enclosure manufacturer' as a bare phrase should NOT be the target for a mechanical-parts RFQ page,High if not disambiguated in copy,Confirmed,UNKNOWN,https://www.apexmobilepower.com/market-segments/lithium-ion-battery-packs-for-robotics ; https://www.krlpower.com/robot-battery-solution/,high (as a negative finding)
INT-13B,electronics enclosure & sheet-metal housing,"Custom CNC/sheet-metal machining of electronics enclosures/housings (PCB, motor-controller, sensor-electronics boxes)",Q029,Needs an IP-rated aluminum/steel/plastic enclosure machined for onboard electronics (not a battery pack specifically),Electronics enclosure / housing,strong,"high (IP rating, CNC cutouts, digital printing for panels, no-MOQ low-volume runs)","high - Protocase, JLCCNC, Polycase, CNCTAL, Falcon CNC Swiss are all specialist, no marketplace/battery-pack contamination in this framing","Correctly-scoped mechanical-only framing, cleanly separated from the battery-pack vertical (INT-EXC-03)",Low once titled/scoped distinctly from battery enclosure (INT-13A),Confirmed strong and cleanly specialist-dominated,"UNKNOWN - AU-specific query ('...Australia') surfaced integrators/hobby retail, not specialist manufacturers; WebSearch tool is US-localized, so absence of AU-specific results is not proof of absence of AU demand",https://www.protocase.com/products/cnc-machining/template-generator-machined-enclosure.php ; https://www.cnctal.com/custom-enclosures/,high
INT-14,chassis,Custom CNC/sheet-metal fabrication of a robot/AMR chassis TO THE CUSTOMER'S OWN DESIGN (not a white-label finished robot),Q030;Q031,"Needs their own chassis design fabricated (frame, panels, mounting provisions) - as opposed to buying a complete AMR platform",Robot/AMR chassis,moderate-strong,"moderate-high (modular extrusion + sheet-metal combinations, payload/rigidity tradeoffs)","moderate - mixed with full AMR/robot OEM sellers (Fdata, REEMAN, Oneway Robot) who serve a DIFFERENT buyer (wants a finished robot, not fabrication-to-drawing)",Distinct RFQ object once buyer type is disambiguated in copy,Medium - risk of ranking for/attracting 'buy a finished AMR' buyers instead of 'fabricate my chassis design' buyers; also cross-industry noise from automotive chassis builders on the 'welded frame' framing (Q031),Confirmed with important buyer-segmentation caveat,UNKNOWN,https://www.lsrpf.com/blog/top-6-manufacturers-for-robotics-sheet-metal-fabrication-custom-lightweight-chassis-experts ; https://www.fdatabot.com/a-complete-guide-to-oem-odm-robot-chassis-customization/,medium
INT-16,sensor/camera/LiDAR mount,"Custom CNC machining of sensor, camera, and LiDAR mounting brackets/housings with tight true-position tolerance",Q033;Q034(merged-in),Needs a precisely located bracket/housing to mount a camera/LiDAR/sensor on a robot with repeatable alignment,Sensor/camera/LiDAR mount,moderate-strong,"high (true position +/-0.05mm or tighter, 7075-T6 for rigidity, optical alignment)","high for sensor/camera framing (zintilon, cnctal, rivcut defense-optics, dekmake); LOW/none for LiDAR-specific framing",Merged: LiDAR-specific search (Q034) showed no distinct dedicated commercial content separate from generic sensor/camera-bracket machining - fold into one page rather than two,Would have been HIGH between a separate LiDAR page and this page - resolved by merging,Confirmed strong for sensor/camera; LiDAR-specific confirmed WEAK/absent as a standalone intent,UNKNOWN,https://www.zintilon.com/industry/robotics/sensor-housing/ ; https://www.rivcut.com/defense-optics-sensors,medium-high
INT-18,ROV/pressure housing,Custom titanium/aluminum machining of subsea pressure housings for ROVs and underwater robots,Q035,"Needs a pressure-rated, sealed housing machined (often titanium) to protect electronics/batteries at depth",ROV/subsea pressure housing,strong,"high (pressure-vessel wall-thickness calc, O-ring sealing grooves, titanium machining, corrosion resistance)","high - fully specialist, no giant platform, no hobby contamination",Highly distinct technical/material requirements vs. any land-based robot housing object,Low; natural child of the ROV/Underwater application page (APP06),"Confirmed strong - OceanTools, Hydro-Blade Manufacturing, Baoji Mingkun/BJMK titanium, Mechanical Research & Design","UNKNOWN - not searched with AU framing, though Australia has a known subsea/offshore industry that may be worth a dedicated future pass",https://www.oceantools.co.uk/subsea-pressure-housings ; https://www.mk-titanium.com/machining-titanium/machining-titanium-for-subsea/titanium-pressure-housings.html,high
INT-19,jig/fixture (robot-cell scoped),"Custom-machined jigs and fixtures specifically for robot-cell integration, EOAT staging, and automated-cell part presentation",Q036,Needs a fixture/jig machined to hold or present a part correctly within a robot work cell (distinct from generic machine-shop tool-and-die work),Jig / fixture (robot-cell scoped),moderate,"moderate (locating/clamping design, repeatability, quick-change compatibility)","high, but for GENERIC industrial jig/fixture making, not robotics-specific - Mahuta Tool, KTM Solutions, MD Design, ITD all serve aerospace/medical/general manufacturing broadly",Must be scoped narrowly to robot-cell/automation fixtures to avoid competing head-on in the much larger generic tool-and-die market,"Medium - broad 'jig and fixture manufacturer' keyword is a much bigger, more contested market than our robotics niche; page should target long-tail 'fixture for robot pick-and-place cell' style phrasing, not the generic head term",Confirmed but not robotics-specific at the head-term level; robotics-specific framing not independently confirmed as its own dedicated SERP cluster,UNKNOWN,https://www.mahutatool.com/Tooling/JigFixtureMachining ; https://www.ktmsolutions.com/manufacturing-fixturing-tooling,low-medium
INT-20,prototype multi-part assembly,"Custom machining/fabrication of a multi-part prototype robot assembly (kitted parts, not a single part)",Q037(partial),"Needs several interdependent machined/fabricated parts of a new robot design produced together as a matched prototype kit, with cross-part fit verified",Prototype multi-part robot assembly / kit,moderate,"moderate-high (DFM across multiple mating parts, kitting/assembly-fit verification, mixed process routing in one order)",moderate - overlaps heavily with the general prototype/low-volume problem page (PRB_A); distinct mainly in ORDER STRUCTURE (multi-part kit vs. single part) rather than a wholly separate SERP cluster,"Distinct buyer workflow (submitting a BOM/kit of parts, not one drawing) even though search terms overlap with PRB_A","HIGH with PRB_A (prototype-to-production) - keep this page focused specifically on the BOM/kitting workflow and multi-part DFM coordination angle, cross-linking heavily to PRB_A rather than duplicating its content","Weak as an independently distinct search phrase; supported indirectly via PRB_A evidence + prior-research corpus (rfq-family-expansion 'prototype multi-part assembly' family, RFQ family coverage matrix, Issue #15)",UNKNOWN,https://www.3erp.com/industries/robotics-and-automations/,low
INT-A01,humanoid robot parts (application),Custom-machined components for humanoid robots across joints/actuators/structure (parent/hub framing),Q032,"Humanoid robot builder needs a manufacturing partner across MULTIPLE part types (joints, actuator housings, structural links, leg/knee parts) for one program",Humanoid robot component set (parent of joint/actuator/shaft/bearing object pages),strong,"high (Ti-6Al-4V, 7075-T651, PEEK/PTFE bearings, tight coaxiality for locomotion joints)","high - large specialist cluster (Runsom, Sinbo Precision, Falcon CNC Swiss, Norck Robotics, AFT Fluorotec) already publishes dedicated humanoid-components pages",Distinct application-level buyer journey (a humanoid program spanning many part types) that should hub/link to the underlying object pages rather than duplicate their content,"Medium with individual object pages (joint housing, actuator housing, shaft, bearing) - keep this page as a hub/overview + humanoid-specific context (leg/knee, hip, ankle), linking OUT to the object pages for deep technical content","Confirmed strong - large, real, fragmented, technically deep specialist cluster",UNKNOWN,https://www.sinbo-machining.com/products/industries/humanoid-robot-components/ ; https://www.falconcncswiss.com/cnc-machined-humanoid-robot-parts/,high
INT-A02,cobot custom parts (application),[EXPERIMENTAL - weak evidence] Custom parts specifically for collaborative robots (cobots),Q038,Cobot integrator/OEM needs custom brackets/mounts/EOAT adapters specific to cobot form factors,"Cobot-specific custom parts (brackets, mounts, EOAT adapters)",weak/ambiguous,UNKNOWN - not established by this search,"low usable signal - query was contaminated by the OPPOSITE intent (cobots tending CNC machines, not parts made for cobots)",No demonstrated distinct SERP identity separate from the broader industrial-robot custom-parts intent (INT-A04),"Should be a CHILD of INT-A04 (industrial robot arm custom parts), not an independent top-level page, until stronger evidence is found",Weak/ambiguous - explicitly flagged UNKNOWN pending a better-targeted follow-up search (e.g. 'cobot end effector mounting plate custom'),UNKNOWN,https://www.rivcut.com/robotics ; https://cobotmfg.com/,low
INT-A03,AMR/mobile robot parts (application),"Custom fabrication of AMR/mobile-robot chassis and structural parts (chassis-led framing, not the literal phrase 'AMR custom parts')",Q039(negative);Q030;Q031,AMR/mobile-robot builder needs a chassis and related structural parts fabricated to their design,AMR chassis and structural parts (parent of INT-14 chassis object page),moderate,moderate-high (see INT-14),moderate (see INT-14),"The literal phrase 'AMR custom parts' has NO distinct SERP identity (Q039 returned zero AMR-specific content) - this application page must be framed around 'AMR chassis/mobile-robot manufacturing' instead, which DOES have real evidence via Q030/Q031",High overlap with INT-14 (chassis) - this page should function as an application-level hub that leads with chassis and cross-links to enclosure/bracket/battery-enclosure object pages for a full AMR build,Weak for the literal application phrase; moderate for the reframed chassis-led phrase (see INT-14),UNKNOWN,https://www.xometry.com/capabilities/cnc-machining-service/ (negative evidence) ; https://www.onewayrobot.com/product/amr-chassis/,low-medium
INT-A04,industrial robot arm custom parts (application),"Custom CNC machining of parts for industrial robot arms (FANUC/ABB/Yaskawa-class), positioned as a hub over object pages",Q040,Industrial-robot integrator/OEM needs a manufacturing partner across multiple part types for an existing or new robot arm program,Industrial robot arm component set (parent hub),"strong at the umbrella level, but GIANT-PLATFORM-DOMINATED",broad/overview-level (deep technical content lives in the child object pages),"LOW at this broad framing - dominated by scaled on-demand manufacturing platforms (Xometry, Fictiv, Hubs/Protolabs Network) with dedicated /robotics/ vertical pages",Needed as an internal site-architecture hub (buyers do search this broad phrase) even though it is NOT a good primary SEO acquisition target on its own,"Should not compete head-on with Xometry/Fictiv/Hubs on the broad phrase; success depends on the object-page children ranking for narrower long-tail queries and this page serving navigation + differentiated value-prop (RFQ routing/accountability), not broad-keyword ranking","Confirmed broad intent exists, but dominated by well-funded aggregator platforms - matches the issue's own caution about broad category queries",UNKNOWN,https://www.xometry.com/robotics/ ; https://www.fictiv.com/robotics ; https://www.hubs.com/industries/robotics-automation/,medium (confidence in the FINDING is high; confidence this should be a primary SEO target is low)
INT-A05,inspection/field robot parts (application),"[EXPERIMENTAL - weak evidence] Custom parts for inspection/field robots (crawlers, pipe inspection, confined-space robots)",Q041,Inspection-robot builder needs custom housings/mounts/structural parts for a field-deployed robot,Inspection robot custom parts,weak,UNKNOWN - not established,"low usable signal - mostly resolves to companies that BUILD whole inspection robots (SuperDroid) or generic robotics-CNC platforms, not a distinct parts-RFQ content cluster",No demonstrated distinct SERP identity separate from the general industrial-robot-parts intent (INT-A04) or the sensor/camera-mount object page (INT-16),Should be deferred/experimental only; likely better served initially as a use-case section within INT-A04 or INT-16 rather than its own page,"Weak - flagged UNKNOWN, recommend a follow-up search pass with more specific phrasing before committing budget",UNKNOWN,https://www.superdroidrobots.com/ ; https://dzmaking.com/custom-robotics-component/,low
INT-A06,ROV/underwater robot parts (application),Custom manufacturing for ROV/underwater robot builders (parent of pressure-housing object page),Q043,"ROV/subsea robot builder needs a manufacturing partner across housings, thrusters mounts, and sealed structural parts",ROV/underwater robot component set (parent of INT-18),strong,"high (sealing, corrosion resistance, pressure tolerance - shared with INT-18)",high - fragmented specialist cluster plus one scaled vertical brand (Blue Robotics) that functions as a buyer-facing marketplace-adjacent competitor,"Distinct application vertical with its own dedicated buyer language (marine-grade materials, corrosion, depth rating) that is a natural parent for the pressure-housing object page","Low-medium with INT-18 (pressure housing) - keep this as the broader application/marine-context page, INT-18 as the specific housing-object deep-dive",Confirmed strong,UNKNOWN - Australia has a real offshore/maritime/defense sector that may independently support this; not tested,https://bluerobotics.com/ ; https://www.runsom.com/blog/underwater-robots-cnc-machining-for-sealing-corrosion-resistance-pressure-tolerance/,medium-high
INT-A07,exoskeleton parts (application),Custom-machined components for exoskeletons (rehab/industrial wearable robots),Q042,"Exoskeleton developer needs lightweight structural/joint parts machined (often medical/rehab-adjacent, sometimes industrial wearable)",Exoskeleton structural/joint parts,moderate,"high (CFRP, aluminum stator mounts, CMM-verified tight tolerances)","moderate - real dedicated content exists but concentrated in one vendor (WayKen, 3 of 9 results) rather than broadly fragmented","Distinct application vertical (wearable, human-contact, often medical-adjacent) with its own technical language",Low with other object pages; some overlap with humanoid (INT-A01) on joint-component technical content - cross-link rather than duplicate,"Confirmed moderate, vendor-concentrated",UNKNOWN,https://waykenrm.com/case-studies/custom-manufacturing-and-solutions-with-exoskeleton-robot-components/,medium
INT-A08,EOAT & automation tooling for robot cells (application hub),"Hub page for automation/EOAT tooling buyers spanning tooling plates, fixtures, and tool-changers",Q020;Q021;Q036(cross-ref),"System integrator building a robot work cell needs a coordinated set of tooling-plate, fixture, and tool-changer parts",Automation/EOAT tooling set (parent of INT-09 EOAT object page and INT-19 jig/fixture object page),"strong at the object level (INT-09), moderate at this hub-framing level",overview-level (deep content lives in child pages),high (inherited from INT-09),Architectural hub to avoid forcing all automation-tooling content onto a single object page; not itself a new distinct search phrase tested independently,"Medium - must clearly differ from INT-09 (specific tooling-plate/flange parts) by being system/cell-level rather than single-part-level, or merge with INT-09 if it cannot sustain distinct content","Inherited from INT-09/INT-19, not independently tested as a hub phrase",UNKNOWN,https://eoatmachining.com/products,low-medium
