page_id,proposed_url,page_type,primary_intent,secondary_queries,RFQ_object,target_buyer,buyer_problem,technical_dimensions_to_cover,required_source_data,CTA_RFQ_fields,related_parent_page,related_child_pages,cannibalization_notes,priority,evidence_urls
OBJ13A,/robot-parts/battery-enclosure-machining/,object,INT-13A,Q028(reframed),Battery enclosure (mechanical shell only),AMR/robot electrical-mechanical engineer who has designed the battery pack and needs the mechanical shell fabricated,"Needs the mechanical housing for a battery pack machined/fabricated (venting, vibration mounts, IP rating) - electrical/cell/BMS work is out of scope","IP rating, thermal venting, vibration-resistant mounting, explicit scope statement that this is mechanical-only",UNKNOWN/needs validation - not directly confirmed by a dedicated search pass; inferred from OBJ13B evidence,Part name/family; CAD (STEP/IGES) + 2D drawing; material + spec; quantity (proto/low-vol/production); tolerance/GD&T notes; surface finish/coating; target unit cost; need-by date; end application (robot type),APP03,none,HIGH risk of buyer confusion with full battery-PACK manufacturers (INT-EXC-03) unless page explicitly states 'mechanical housing only' above the fold - recommend validating this page's search evidence with a dedicated follow-up query pass before committing full content investment,P2 (validate before build),https://www.protocase.com/products/electronic-enclosures/machined-enclosures/
OBJ13B,/robot-parts/electronics-enclosure-machining/,object,INT-13B,Q029,Electronics enclosure / housing,Robot electronics/mechanical engineer needing a controller/sensor-electronics box machined,Needs an IP-rated aluminum/steel/plastic enclosure machined for onboard electronics,"IP rating, CNC cutouts for connectors/displays, digital-printed panels, low-volume/no-MOQ runs",docs/research/robotics-rfq-family-expansion (battery-electronics-enclosure.csv),Part name/family; CAD (STEP/IGES) + 2D drawing; material + spec; quantity (proto/low-vol/production); tolerance/GD&T notes; surface finish/coating; target unit cost; need-by date; end application (robot type),CAT01,none,Keep clearly separated from OBJ13A (battery enclosure) in copy/title to avoid the battery-pack-vertical confusion (INT-EXC-03),P0,https://www.protocase.com/products/cnc-machining/template-generator-machined-enclosure.php ; https://www.cnctal.com/custom-enclosures/
OBJ14,/robot-parts/robot-chassis-fabrication/,object,INT-14,Q030;Q031,Robot/AMR chassis,AMR/mobile-robot mechanical engineer with their own chassis design,"Needs their own chassis design (frame, panels, mounting provisions) fabricated - NOT buying a finished white-label robot platform","Modular extrusion + sheet-metal combinations, payload/rigidity tradeoffs, explicit 'we fabricate to YOUR design' framing",docs/research/robotics-rfq-family-expansion (welded-frame-chassis.csv),Part name/family; CAD (STEP/IGES) + 2D drawing; material + spec; quantity (proto/low-vol/production); tolerance/GD&T notes; surface finish/coating; target unit cost; need-by date; end application (robot type),APP03,none,"Must disambiguate against full AMR/robot-OEM sellers (Fdata, REEMAN) who target buyers wanting a finished robot, not fabrication-to-drawing; also cross-industry automotive-chassis noise on 'welded frame' phrasing (Q031) - keep 'robot'/'AMR' explicit throughout",P1,https://www.lsrpf.com/blog/top-6-manufacturers-for-robotics-sheet-metal-fabrication-custom-lightweight-chassis-experts
OBJ16,/robot-parts/sensor-camera-lidar-mount/,object,INT-16,Q033;Q034,Sensor/camera/LiDAR mount,Robot perception/mechatronics engineer needing a sensor mount machined,Needs a precisely located bracket/housing to mount a camera/LiDAR/sensor with repeatable alignment,"True-position tolerance (+/-0.05mm or tighter), 7075-T6 rigidity, optical/mechanical alignment, vibration damping",docs/research/robotics-rfq-family-expansion (sensor-camera-mount.csv),Part name/family; CAD (STEP/IGES) + 2D drawing; material + spec; quantity (proto/low-vol/production); tolerance/GD&T notes; surface finish/coating; target unit cost; need-by date; end application (robot type),CAT01,none,MERGED with LiDAR mount per evidence (Q034 showed no distinct dedicated LiDAR-only commercial content) - do not split into 2 pages,P1,https://www.zintilon.com/industry/robotics/sensor-housing/ ; https://www.rivcut.com/defense-optics-sensors
OBJ18,/robot-parts/rov-pressure-housing/,object,INT-18,Q035,ROV/subsea pressure housing,Marine/subsea robotics engineer needing a pressure-rated housing machined,"Needs a pressure-rated, sealed housing (often titanium) machined to protect electronics/batteries at depth","Pressure-vessel wall-thickness calculation, O-ring sealing groove design, titanium machining, corrosion resistance",docs/research/robotics-rfq-family-expansion (pressure-sealed-housing.csv),Part name/family; CAD (STEP/IGES) + 2D drawing; material + spec; quantity (proto/low-vol/production); tolerance/GD&T notes; surface finish/coating; target unit cost; need-by date; end application (robot type),APP06,none,Low risk - highly distinct technical/material requirements; natural child of APP06,P1,https://www.oceantools.co.uk/subsea-pressure-housings ; https://www.mk-titanium.com/machining-titanium/machining-titanium-for-subsea/titanium-pressure-housings.html
OBJ19,/robot-parts/robot-cell-jig-fixture/,object,INT-19,Q036,Jig / fixture (robot-cell scoped),Automation/manufacturing engineer integrating a robot work cell,Needs a fixture/jig machined to correctly hold or present a part within an automated robot cell,"Locating/clamping design, repeatability specs, quick-change compatibility, explicit robot-cell scoping (vs. generic tool-and-die)",docs/research/robotics-rfq-family-expansion (jig-fixture-eoat.csv),Part name/family; CAD (STEP/IGES) + 2D drawing; material + spec; quantity (proto/low-vol/production); tolerance/GD&T notes; surface finish/coating; target unit cost; need-by date; end application (robot type),APP08,none,Must scope narrowly to robot-cell/automation fixtures - the generic 'jig and fixture manufacturer' market is much larger and not robotics-specific; do not target the broad head term,P2,https://www.mahutatool.com/Tooling/JigFixtureMachining
OBJ20,/robot-parts/prototype-multi-part-assembly/,object,INT-20,Q037,Prototype multi-part robot assembly / kit,Robot program lead submitting a BOM of multiple interdependent parts at once,"Needs several mating/interdependent parts of a new robot design produced together as a matched, fit-verified prototype kit","Multi-part DFM coordination, cross-part fit verification, mixed-process routing (machining+sheet-metal+printing) in one order, BOM/kitting workflow",docs/research/robotics-rfq-family-expansion (prototype-multipart-assembly.csv),BOM upload (multiple CAD+drawing files); assembly drawing/fit requirements; plus standard RFQ fields,PRB_A,none,"HIGH overlap with PRB_A (prototype-to-production) - differentiate by focusing specifically on the BOM/kitting workflow, cross-link heavily rather than duplicate",P2,https://www.3erp.com/industries/robotics-and-automations/
APP01,/robot-parts/applications/humanoid-robot-parts/,application,INT-A01,Q032,Humanoid robot component set (hub),Humanoid robot company mechanical/hardware lead,"Needs one manufacturing partner across joints, actuators, structure, and leg/knee parts for a humanoid program","Ti-6Al-4V, 7075-T651, PEEK/PTFE bearings, leg/knee/hip/ankle joint context, links to OBJ01/OBJ02/OBJ04/OBJ05",docs/research/robotics-rfq-family-expansion + robotics-rfq-anatomy (robot type = Humanoid/general-purpose),Part name/family; CAD (STEP/IGES) + 2D drawing; material + spec; quantity (proto/low-vol/production); tolerance/GD&T notes; surface finish/coating; target unit cost; need-by date; end application (robot type),CAT01,OBJ01;OBJ02;OBJ03;OBJ04;OBJ05,Keep as hub/overview + humanoid-specific context; link OUT to object pages for deep technical content rather than duplicating,P0,https://www.sinbo-machining.com/products/industries/humanoid-robot-components/ ; https://www.falconcncswiss.com/cnc-machined-humanoid-robot-parts/
APP02,/robot-parts/applications/cobot-custom-parts/,application,INT-A02,Q038,Cobot-specific custom parts,Cobot integrator/OEM (UNKNOWN if distinct from general industrial-robot buyer),UNKNOWN - not established by this search pass,UNKNOWN pending follow-up research,"Needs a dedicated follow-up search pass (e.g. 'cobot end effector mounting plate custom', 'cobot tool flange adapter manufacturer') before content investment",Part name/family; CAD (STEP/IGES) + 2D drawing; material + spec; quantity (proto/low-vol/production); tolerance/GD&T notes; surface finish/coating; target unit cost; need-by date; end application (robot type),APP04,none,"EXPERIMENTAL/DEFER - weak evidence; launch as a section within APP04 first, promote to standalone only if follow-up research finds distinct intent",P3-experimental,https://www.rivcut.com/robotics
APP03,/robot-parts/applications/amr-mobile-robot-parts/,application,INT-A03,Q039(negative);Q030;Q031,AMR chassis and structural parts (hub),AMR/mobile-robot company mechanical lead,Needs a chassis and related structural/enclosure parts fabricated for an AMR/mobile-robot design,"Chassis-led framing (not literal 'AMR custom parts' - that phrase has no SERP identity per Q039); links to OBJ14, OBJ12, OBJ13A/B",docs/research/robotics-rfq-family-expansion (welded-frame-chassis.csv),Part name/family; CAD (STEP/IGES) + 2D drawing; material + spec; quantity (proto/low-vol/production); tolerance/GD&T notes; surface finish/coating; target unit cost; need-by date; end application (robot type),CAT01,OBJ14;OBJ12;OBJ13A;OBJ13B,"High overlap with OBJ14 (chassis) - lead with chassis content, position as the AMR-context hub",P1,https://www.onewayrobot.com/product/amr-chassis/
APP04,/robot-parts/applications/industrial-robot-parts/,application,INT-A04,Q040,Industrial robot arm component set (hub),Industrial robot integrator/OEM (FANUC/ABB/Yaskawa-class arms),Needs a manufacturing partner across multiple part types for an industrial robot-arm program,Overview/navigation to object pages; RFQ-routing/accountability value proposition (differentiator vs. Xometry/Fictiv/Hubs),Internal taxonomy,Part name/family; CAD (STEP/IGES) + 2D drawing; material + spec; quantity (proto/low-vol/production); tolerance/GD&T notes; surface finish/coating; target unit cost; need-by date; end application (robot type),CAT01,OBJ01;OBJ02;OBJ04;OBJ05;OBJ06;OBJ07;OBJ11,"Broad phrase is giant-platform-dominated (Xometry, Fictiv, Hubs) - this page should not be expected to rank on the head term alone; success depends on object-page children ranking for long-tail queries",P1,https://www.xometry.com/robotics/ ; https://www.fictiv.com/robotics
APP05,/robot-parts/applications/inspection-robot-parts/,application,INT-A05,Q041,Inspection robot custom parts,UNKNOWN - possibly inspection-robot builder,UNKNOWN - not established by this search pass,UNKNOWN pending follow-up research,"Needs a dedicated follow-up search pass with more specific phrasing (e.g. 'pipe crawler robot parts manufacturer', 'confined space robot housing custom')",Part name/family; CAD (STEP/IGES) + 2D drawing; material + spec; quantity (proto/low-vol/production); tolerance/GD&T notes; surface finish/coating; target unit cost; need-by date; end application (robot type),APP04,none,EXPERIMENTAL/DEFER - weak evidence; likely better served as a use-case section within APP04 or OBJ16 initially,P3-experimental,https://www.superdroidrobots.com/
APP06,/robot-parts/applications/underwater-rov-robot-parts/,application,INT-A06,Q043,ROV/underwater robot component set (hub),ROV/subsea robot builder,"Needs a manufacturing partner across housings, mounts, and sealed structural parts for a subsea robot","Marine-grade materials (316L, Ti Grade 5, 6061/7075), corrosion resistance, depth rating; links to OBJ18",docs/research/robotics-rfq-family-expansion (pressure-sealed-housing.csv),Part name/family; CAD (STEP/IGES) + 2D drawing; material + spec; quantity (proto/low-vol/production); tolerance/GD&T notes; surface finish/coating; target unit cost; need-by date; end application (robot type),CAT01,OBJ18,"Low-medium overlap with OBJ18 - this page is the broader marine-context hub, OBJ18 is the specific housing object deep-dive",P1,https://bluerobotics.com/ ; https://www.runsom.com/blog/underwater-robots-cnc-machining-for-sealing-corrosion-resistance-pressure-tolerance/
APP07,/robot-parts/applications/exoskeleton-parts/,application,INT-A07,Q042,Exoskeleton structural/joint parts,Exoskeleton (rehab/industrial wearable) developer,Needs lightweight structural/joint parts machined for a wearable exoskeleton,"CFRP, aluminum stator mounts, CMM-verified tight tolerances, human-contact/safety considerations",Needs dedicated in-repo research folder cross-check (not covered in prior RFQ-family-expansion pass) - flag for future research,Part name/family; CAD (STEP/IGES) + 2D drawing; material + spec; quantity (proto/low-vol/production); tolerance/GD&T notes; surface finish/coating; target unit cost; need-by date; end application (robot type),CAT01,none,Some overlap with APP01 (humanoid) on joint-component technical content - cross-link rather than duplicate,P2,https://waykenrm.com/case-studies/custom-manufacturing-and-solutions-with-exoskeleton-robot-components/
APP08,/robot-parts/applications/eoat-automation-tooling/,application,INT-A08,Q020;Q021;Q036,Automation/EOAT tooling set (hub),Systems integrator building a full robot work cell,"Needs a coordinated set of tooling-plate, gripper, fixture, and tool-changer parts for one cell","Overview/navigation to OBJ08, OBJ09, OBJ19; cell-level integration considerations",Internal taxonomy,Part name/family; CAD (STEP/IGES) + 2D drawing; material + spec; quantity (proto/low-vol/production); tolerance/GD&T notes; surface finish/coating; target unit cost; need-by date; end application (robot type),CAT01,OBJ08;OBJ09;OBJ19,Must stay clearly system/cell-level vs. OBJ09's single-part-level content or merge with OBJ09 if it cannot sustain distinct content,P2,https://eoatmachining.com/products
APP09,/robot-parts/applications/startup-rd-robot-parts/,application,INT-A09,Q037,Startup/R&D robot prototype parts (persona hub),Funded robotics startup or university R&D team,"Needs low-hundreds-quantity, fast-turn parts across many object types without a large purchasing department","Low-MOQ/no-MOQ messaging, speed, single point of contact across many part types; persona-focused, not a new technical object","docs/research/robotics-rfq-family-expansion (robot type = Maker/startup-built custom robot systems, per coverage-audit.md)",Part name/family; CAD (STEP/IGES) + 2D drawing; material + spec; quantity (proto/low-vol/production); tolerance/GD&T notes; surface finish/coating; target unit cost; need-by date; end application (robot type),PRB_A,none,"HIGH overlap with PRB_A - keep this page persona/messaging-focused (speed, low MOQ) and link into PRB_A + object pages rather than duplicating technical content",P2,https://www.3erp.com/industries/robotics-and-automations/ ; https://protoforgetech.com/
PRB_A,/robot-parts/capabilities/prototype-to-production-machining/,problem-process,INT-P01,Q037;Q047,Cross-cutting service (applies to most object pages),Robot program lead planning a prototype-through-production ramp,Needs one partner who can take a part from single prototype through validated low-volume and production quantities without re-sourcing,"DFM review process, process scaling (CNC to tooling), no-MOQ/low-MOQ terms, tolerance/finish consistency across volume ramp",Internal process documentation (to be authored) + this pilot's evidence,Part name/family; CAD (STEP/IGES) + 2D drawing; material + spec; quantity (proto/low-vol/production); tolerance/GD&T notes; surface finish/coating; target unit cost; need-by date; end application (robot type),CAT01,OBJ20;APP09,Merged from 2 near-identical source queries (Q037+Q047) to avoid duplicate-intent pages,P0,https://www.3erp.com/industries/robotics-and-automations/ ; https://firstpart.com/robotics-manufacturing/
PRB_B,/robot-parts/capabilities/5-axis-machining-robot-parts/,problem-process,INT-P02,Q044,Cross-cutting process capability,Robot mechanical engineer evaluating machining-process fit for a complex-geometry part,Needs a part with multiple compound-angle features machined in one setup to hold cross-feature tolerance,5-axis setup strategy tied specifically to joint/housing geometry (not a generic 5-axis explainer); single-setup vs. multi-setup tradeoffs,Internal process documentation (to be authored),Part name/family; CAD (STEP/IGES) + 2D drawing; material + spec; quantity (proto/low-vol/production); tolerance/GD&T notes; surface finish/coating; target unit cost; need-by date; end application (robot type),CAT01,OBJ01;OBJ02;OBJ07,"Must supply robot-specific technical substance itself since the existing SERP has only thin robot-specific differentiation; keep distinct from OBJ01/OBJ02 by focusing on PROCESS explanation, cross-link to object pages for parts",P2,https://jlccnc.com/blog/customized-cnc-parts-for-robots
PRB_C,/robot-parts/capabilities/tight-tolerance-robot-machining/,problem-process,INT-P03,Q045,Cross-cutting process capability,Robot mechanical engineer needing tolerance assurance from a supplier,Needs assurance a supplier can consistently hold sub-0.01mm tolerances on robot-motion-critical features,"GD&T examples on bearing bores/interfaces, metrology/CMM verification approach, tolerance-stack discussion",docs/research/robotics-rfq-anatomy (tolerance-gdt.csv),Part name/family; CAD (STEP/IGES) + 2D drawing; material + spec; quantity (proto/low-vol/production); tolerance/GD&T notes; surface finish/coating; target unit cost; need-by date; end application (robot type),CAT01,OBJ01;OBJ05,Overlaps with PRB_B (5-axis) and joint/bearing housing object pages - keep distinct by focusing on TOLERANCE/GD&T/metrology substance specifically,P2,https://www.partmfg.com/precision-cnc-machining-for-custom-robotic-parts/
PRB_D,/robot-parts/capabilities/sheet-metal-fabrication-welding/,problem-process,INT-P04,Q023;Q027,"Cross-cutting process capability (base/pedestal, chassis, enclosure)",Robot mechanical engineer needing welding+forming capability alongside machining,Needs a process partner combining welding + CNC + sheet-metal forming for larger structural robot parts,"IP-rating design, PEM fasteners, weld-then-machine sequencing, structural steel vs. aluminum tradeoffs",docs/research/robotics-rfq-family-expansion (welded-frame-chassis.csv; sheet-metal-enclosure.csv),Part name/family; CAD (STEP/IGES) + 2D drawing; material + spec; quantity (proto/low-vol/production); tolerance/GD&T notes; surface finish/coating; target unit cost; need-by date; end application (robot type),CAT01,OBJ10;OBJ12;OBJ14,Evidence shows the SAME specialist competitor set appears for both base/pedestal and enclosure searches - confirms this cross-cutting process page is justified rather than duplicating the content on each object page,P1,https://www.approvedsheetmetal.com/industries-we-serve/sheet-metal-for-robotics ; https://drametal.com/industries/robotics/
PRB_E,/robot-parts/guides/how-to-source-china-cnc-manufacturer/,problem-process,INT-P05,Q050(informational subset),n/a - informational/trust content,US/AU engineer or buyer new to overseas CNC sourcing,Needs to understand how to prepare an RFQ package and qualify a China-based manufacturing partner before committing,"RFQ package requirements (CAD+drawing+BOM), DFM review process, quality documentation expectations (CMM/AS9102-style reports), IP-protection considerations",Internal process documentation (to be authored),Part name/family; CAD (STEP/IGES) + 2D drawing; material + spec; quantity (proto/low-vol/production); tolerance/GD&T notes; surface finish/coating; target unit cost; need-by date; end application (robot type),CAT01,none,"Must stay scoped to the INFORMATIONAL angle, not the broad commercial phrase (Q050 = giant-platform-dominated: Alibaba/Xometry/Haizol/MFG.com) - funnel readers toward object pages for the commercial RFQ action",P1,https://xtjcnc.com/blog/guide/cnc-rfq-template/ ; https://cncprecision.tech/2026/04/14/how-to-choose-a-cnc-machining-supplier-in-china/
